pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FS,2022-10-14,83.3,-1.02,6.07,"Odorizzi, Jake",656555,543606,walk,ball,,,,,14,Rhys Hoskins walks.   Matt Vierling to 2nd.,D,R,R,PHI,ATL,B,,,3,2,2022,-0.65,0.3,1.84,1.08,,,663837.0,0,7,Bot,,,,,,,7.8011280555617075,-121.1168756618356,-5.645187286567415,-7.828841168340732,20.93911088200078,-28.34065210809054,3.57,1.72,,,,83.3,1244,6.1,715741,518595,621566,606115,663586,621020,543257,671739,660670,54.43,,0.688744,0.7,1.0,0.0,0.0,,58,7,Split-Finger,6,1,6,1,1,6,6,1,Standard,Standard,209,0.003,0.315,,,,-0.315,,5,5,0.989,0.989,32,29,32,29,2,3,10.0,2.0,,1.0,2.96,0.65,0.65,42.4
FS,2022-10-14,84.6,-0.98,6.06,"Odorizzi, Jake",656555,543606,,foul,,,,,9,Rhys Hoskins walks.   Matt Vierling to 2nd.,D,R,R,PHI,ATL,S,,,3,2,2022,-0.81,0.26,0.3,2.28,,,663837.0,0,7,Bot,,,,,,,4.591519447464358,-123.16830037097112,-3.027818418103376,-9.182233758646316,22.816885795410503,-29.19512329781372,3.61,1.72,125.0,70.2,13.0,84.6,1166,6.1,715741,518595,621566,606115,663586,621020,543257,671739,660670,54.42,,,,,,,,58,6,Split-Finger,6,1,6,1,1,6,6,1,Standard,Standard,212,0.0,0.0,,,,0.0,88.0,5,5,0.989,0.989,32,29,32,29,2,3,10.0,2.0,,1.0,2.91,0.81,0.81,41.0
FF,2022-10-14,90.0,-1.15,6.14,"Odorizzi, Jake",656555,543606,,ball,,,,,11,Rhys Hoskins walks.   Matt Vierling to 2nd.,D,R,R,PHI,ATL,B,,,2,2,2022,-0.48,1.58,-0.33,4.84,,,663837.0,0,7,Bot,,,,,,,3.014612872335554,-131.00433950971723,-0.5755968251040695,-6.136685511628869,28.484507269229997,-14.150888672602376,3.57,1.72,,,,89.4,1945,6.0,715741,518595,621566,606115,663586,621020,543257,671739,660670,54.51,,,,,,,,58,5,4-Seam Fastball,6,1,6,1,1,6,6,1,Standard,Standard,211,0.0,0.097,,,,-0.097,,5,5,0.989,0.989,32,29,32,29,2,3,10.0,2.0,,1.0,1.24,0.48,0.48,41.9
FS,2022-10-14,82.0,-1.15,6.16,"Odorizzi, Jake",656555,543606,,foul,,,,,13,Rhys Hoskins walks.   Matt Vierling to 2nd.,D,R,R,PHI,ATL,S,,,2,1,2022,-0.68,0.2,-0.39,1.47,,,663837.0,0,7,Bot,,,,,,,3.001024482175413,-119.37472209300164,-4.495230858463491,-7.028794932165261,21.328780831640753,-29.59583989777525,3.61,1.72,308.0,87.7,34.0,81.7,1099,5.9,715741,518595,621566,606115,663586,621020,543257,671739,660670,54.57,,,,,,,,58,4,Split-Finger,6,1,6,1,1,6,6,1,Standard,Standard,214,0.0,-0.066,,,,0.066,88.0,5,5,0.989,0.989,32,29,32,29,2,3,10.0,2.0,,1.0,3.16,0.68,0.68,40.8
FS,2022-10-14,81.0,-1.05,6.03,"Odorizzi, Jake",656555,543606,,swinging_strike,,,,,14,Rhys Hoskins walks.   Matt Vierling to 2nd.,D,R,R,PHI,ATL,S,,,2,0,2022,-0.88,0.4,0.12,1.13,,,663837.0,0,7,Bot,,,,,,,4.252515057436547,-117.910577074764,-5.11375344885669,-8.956473328274384,20.534894242402956,-27.737484530137053,3.61,1.72,,,,80.9,1057,6.0,715741,518595,621566,606115,663586,621020,543257,671739,660670,54.49,,,,,,,,58,3,Split-Finger,6,1,6,1,1,6,6,1,Standard,Standard,216,0.0,-0.057,,,,0.057,,5,5,0.989,0.989,32,29,32,29,2,3,10.0,2.0,,1.0,3.05,0.88,0.88,41.6
SI,2022-10-14,89.0,-1.14,6.1,"Odorizzi, Jake",656555,543606,,ball,,,,,11,Rhys Hoskins walks.   Matt Vierling to 2nd.,D,R,R,PHI,ATL,B,,,1,0,2022,-0.86,1.45,-0.4,4.14,,,663837.0,0,7,Bot,,,,,,,3.593609843110521,-129.59025890330906,-1.8454531932575269,-10.409586615430293,26.845150981929393,-15.61686434935564,3.6,1.72,,,,88.6,2069,6.0,715741,518595,621566,606115,663586,621020,543257,671739,660670,54.53,,,,,,,,58,2,Sinker,6,1,6,1,1,6,6,1,Standard,Standard,207,0.0,0.072,,,,-0.072,,5,5,0.989,0.989,32,29,32,29,2,3,10.0,2.0,,1.0,1.42,0.86,0.86,37.8
FF,2022-10-14,87.8,-1.0,6.02,"Odorizzi, Jake",656555,543606,,ball,,,,,12,Rhys Hoskins walks.   Matt Vierling to 2nd.,D,R,R,PHI,ATL,B,,,0,0,2022,-0.69,1.49,0.0,3.76,,,663837.0,0,7,Bot,,,,,,,3.841639724304708,-127.82226537590353,-2.4304992867448045,-8.413629597753841,27.02865606369581,-15.59075713937304,3.6,1.72,,,,87.3,1903,6.0,715741,518595,621566,606115,663586,621020,543257,671739,660670,54.48,,,,,,,,58,1,4-Seam Fastball,6,1,6,1,1,6,6,1,Standard,Standard,208,0.0,0.039,,,,-0.039,,5,5,0.989,0.989,32,29,32,29,2,3,10.0,2.0,,1.0,1.47,0.69,0.69,41.9
FC,2022-10-14,84.1,-1.18,6.03,"Odorizzi, Jake",656941,543606,single,hit_into_play,,,,,2,Kyle Schwarber singles on a sharp line drive to right fielder Ronald Acuna Jr.,D,L,R,PHI,ATL,X,9.0,line_drive,1,0,2022,0.05,1.03,0.23,2.99,,,,0,7,Bot,201.41,97.61,,,,,3.163024853977306,-122.56177123193724,-2.76005406154822,-0.0377246608464804,22.03565300075316,-21.453765437080023,3.33,1.58,243.0,104.9,16.0,84.2,1828,6.1,715741,518595,621566,606115,663586,621020,543257,671739,660670,54.42,0.571,0.654,0.9,1.0,1.0,0.0,5.0,57,2,Cutter,6,1,6,1,1,6,6,1,Infield shift,Standard,178,0.001,0.403,,,0.976,-0.403,104.9,5,5,0.988,0.988,32,29,32,29,2,3,10.0,2.0,,1.0,2.16,-0.05,0.05,40.9
FS,2022-10-14,83.5,-1.25,5.9,"Odorizzi, Jake",656941,543606,,ball,,,,,14,Kyle Schwarber singles on a sharp line drive to right fielder Ronald Acuna Jr.,D,L,R,PHI,ATL,B,,,0,0,2022,-0.98,0.66,1.08,0.66,,,,0,7,Bot,,,,,,,7.257138905923854,-121.26352857469176,-6.881683617725516,-11.071480996285226,23.065824303956543,-24.501210916306544,3.45,1.58,,,,83.3,1303,6.2,715741,518595,621566,606115,663586,621020,543257,671739,660670,54.32,,,,,,,,57,1,Split-Finger,6,1,6,1,1,6,6,1,Infield shift,Standard,225,0.0,0.037,,,,-0.037,,5,5,0.988,0.988,32,29,32,29,2,3,10.0,2.0,,1.0,2.62,0.98,-0.98,39.9
FS,2022-10-14,83.0,-1.17,6.01,"Odorizzi, Jake",681082,543606,grounded_into_double_play,hit_into_play,,,,,5,"Bryson Stott grounds into a double play, first baseman Matt Olson to shortstop Dansby Swanson to first baseman Matt Olson.   Jean Segura out at 2nd.    Bryson Stott out at 1st.",D,L,R,PHI,ATL,X,3.0,ground_ball,0,0,2022,-0.97,0.2,-0.14,2.16,,,516416.0,1,6,Bot,146.81,167.71,,,,,4.2517602640846945,-120.92295296676228,-2.8168451271793717,-10.332403465060388,21.401300765306743,-29.867970892634787,3.2,1.47,53.0,90.6,1.0,83.3,985,6.2,715741,518595,621566,687093,663586,621020,592696,671739,660670,54.31,0.309,0.322,0.0,1.0,0.0,0.0,2.0,52,1,Split-Finger,6,1,6,1,1,6,6,1,Standard,Standard,217,-0.005,-0.314,,,0.316,0.314,90.6,5,5,0.977,0.977,32,24,32,25,2,2,10.0,2.0,,1.0,3.07,0.97,-0.97,41.4
