pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2022-10-04,93.1,-1.98,5.94,"Assad, Javier",641584,665871,walk,ball,,,,,14.0,Jake Fraley walks.   Chuckie Robinson to 2nd.,R,L,R,CIN,CHC,B,,,3,2,2022,-1.27,0.95,0.43,1.35,,,642020.0,1,6,Bot,,,,,,,8.985546604021073,-135.3028088594115,-8.200512458564944,-17.441130421715382,25.15305261974954,-18.934188267815095,3.5,1.72,,,,94.0,1914.0,6.6,663243,575929,663845,606019,621550,663538,664023,666624,673548,53.94,,0.688744,0.7,1.0,0.0,0.0,,42,7,Sinker,0,1,0,1,1,0,0,1,Infield shift,Standard,214.0,0.061,0.272,,,,-0.272,,-1,-1,0.392,0.392,24,27,25,27,3,2,5.0,1.0,,1.0,1.65,1.27,-1.27,49.8
FC,2022-10-04,90.0,-2.13,5.87,"Assad, Javier",641584,665871,,foul,,,,,6.0,Jake Fraley walks.   Chuckie Robinson to 2nd.,R,L,R,CIN,CHC,S,,,3,2,2022,0.19,0.73,0.61,2.71,,,642020.0,1,6,Bot,,,,,,,6.416274942387076,-130.98951683642184,-3.471100929260933,1.0054855027597454,25.355635855203055,-23.27138345896284,3.29,1.6,102.0,90.7,6.0,90.7,2246.0,6.5,663243,575929,663845,606019,621550,663538,664023,666624,673548,53.96,,,,,,,,42,6,Cutter,0,1,0,1,1,0,0,1,Infield shift,Standard,179.0,0.0,0.0,,,,0.0,90.7,-1,-1,0.392,0.392,24,27,25,27,3,2,5.0,1.0,,1.0,2.07,-0.19,0.19,46.0
FC,2022-10-04,89.4,-2.17,5.81,"Assad, Javier",641584,665871,,swinging_strike,,,,,14.0,Jake Fraley walks.   Chuckie Robinson to 2nd.,R,L,R,CIN,CHC,S,,,3,1,2022,-0.19,0.99,0.34,1.38,,,642020.0,1,6,Bot,,,,,,,6.628376431942767,-130.02572544605724,-7.064897823942264,-3.4173977796656305,24.78565217016565,-19.69417852694516,3.29,1.6,,,,90.2,2086.0,6.6,663243,575929,663845,606019,621550,663538,664023,666624,673548,53.93,,,,,,,,42,5,Cutter,0,1,0,1,1,0,0,1,Infield shift,Standard,200.0,0.0,-0.084,,,,0.084,,-1,-1,0.392,0.392,24,27,25,27,3,2,5.0,1.0,,1.0,1.85,0.19,-0.19,44.3
CH,2022-10-04,84.9,-2.03,5.92,"Assad, Javier",641584,665871,,ball,,,,,13.0,Jake Fraley walks.   Chuckie Robinson to 2nd.,R,L,R,CIN,CHC,B,,,2,1,2022,-0.99,1.25,-0.4,1.12,,,642020.0,1,6,Bot,,,,,,,5.821926514740796,-123.42471792949516,-7.435619647314814,-11.26812647776136,24.45138457076051,-18.14102266635248,3.5,1.69,,,,85.3,1486.0,6.6,663243,575929,663845,606019,621550,663538,664023,666624,673548,53.91,,,,,,,,42,4,Changeup,0,1,0,1,1,0,0,1,Infield shift,Standard,234.0,0.0,0.087,,,,-0.087,,-1,-1,0.392,0.392,24,27,25,27,3,2,5.0,1.0,,1.0,1.92,0.99,-0.99,51.8
SI,2022-10-04,91.6,-1.94,6.01,"Assad, Javier",641584,665871,,called_strike,,,,,5.0,Jake Fraley walks.   Chuckie Robinson to 2nd.,R,L,R,CIN,CHC,S,,,2,0,2022,-1.08,1.23,-0.09,2.75,,,642020.0,1,6,Bot,,,,,,,7.055911112259492,-133.18514354361687,-5.065729855072747,-14.369539530912247,27.414770926521896,-16.651344784066257,3.47,1.6,,,,92.2,2028.0,6.6,663243,575929,663845,606019,621550,663538,664023,666624,673548,53.89,,,,,,,,42,3,Sinker,0,1,0,1,1,0,0,1,Infield shift,Standard,204.0,0.0,-0.055,,,,0.055,,-1,-1,0.392,0.392,24,27,25,27,3,2,5.0,1.0,,1.0,1.48,1.08,-1.08,52.3
FC,2022-10-04,86.9,-2.32,5.9,"Assad, Javier",641584,665871,,ball,,,,,13.0,Jake Fraley walks.   Chuckie Robinson to 2nd.,R,L,R,CIN,CHC,B,,,1,0,2022,0.21,0.7,-0.09,1.31,,,642020.0,1,6,Bot,,,,,,,4.93469532245265,-126.50854113644009,-6.326117850619981,1.382080254974964,23.873191952842475,-23.558922328231905,3.53,1.69,,,,87.6,2077.0,6.5,663243,575929,663845,606019,621550,663538,664023,666624,673548,53.96,,,,,,,,42,2,Cutter,0,1,0,1,1,0,0,1,Infield shift,Standard,203.0,0.0,0.068,,,,-0.068,,-1,-1,0.392,0.392,24,27,25,27,3,2,5.0,1.0,,1.0,2.29,-0.21,0.21,45.5
SI,2022-10-04,90.6,-2.09,5.99,"Assad, Javier",641584,665871,,ball,,,,,13.0,Jake Fraley walks.   Chuckie Robinson to 2nd.,R,L,R,CIN,CHC,B,,,0,0,2022,-1.29,0.94,-1.41,1.8,,,642020.0,1,6,Bot,,,,,,,4.457217199320734,-131.8493019129361,-6.569233820634,-15.955947038432324,26.95098615379912,-20.022872100186188,3.44,1.6,,,,91.0,1882.0,6.5,663243,575929,663845,606019,621550,663538,664023,666624,673548,54.04,,,,,,,,42,1,Sinker,0,1,0,1,1,0,0,1,Infield shift,Standard,208.0,0.0,0.035,,,,-0.035,,-1,-1,0.392,0.392,24,27,25,27,3,2,5.0,1.0,,1.0,1.83,1.29,-1.29,50.4
SI,2022-10-04,91.5,-1.88,6.09,"Assad, Javier",608703,665871,field_out,hit_into_play,,,,,11.0,Matt Reynolds pops out to first baseman Alfonso Rivas.,R,R,R,CIN,CHC,X,3.0,popup,0,1,2022,-1.14,1.25,-0.93,3.14,,,642020.0,0,6,Bot,154.01,173.95,,,,,4.855680442870096,-133.17937649938102,-4.309826896854611,-14.578332148649729,27.187736463983263,-16.494231355091614,3.04,1.45,99.0,60.6,67.0,91.8,1989.0,6.4,663243,575929,663845,606019,621550,663538,664023,666624,673548,54.14,0.0,0.0,0.0,1.0,0.0,0.0,3.0,41,2,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,200.0,-0.059,-0.191,,,0.0,0.191,88.0,-1,-1,0.451,0.451,24,31,25,32,3,0,5.0,3.0,,1.0,1.46,1.14,1.14,53.9
SI,2022-10-04,91.0,-1.92,6.01,"Assad, Javier",608703,665871,,called_strike,,,,,8.0,Matt Reynolds pops out to first baseman Alfonso Rivas.,R,R,R,CIN,CHC,S,,,0,0,2022,-1.2,1.05,-0.17,1.69,,,642020.0,0,6,Bot,,,,,,,6.988479333610777,-132.24532068699423,-7.211826385601003,-15.602294656537548,27.739077020462236,-18.465369920912764,3.17,1.5,,,,91.4,1959.0,6.5,663243,575929,663845,606019,621550,663538,664023,666624,673548,53.96,,,,,,,,41,1,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,199.0,0.0,-0.044,,,,0.044,,-1,-1,0.451,0.451,24,31,25,32,3,0,5.0,3.0,,1.0,1.7,1.2,1.2,54.6
ST,2022-10-04,80.3,-1.92,5.96,"Assad, Javier",642020,665871,single,hit_into_play,,,,,14.0,Chuckie Robinson singles on a line drive to left fielder Ian Happ.,R,R,R,CIN,CHC,X,7.0,line_drive,1,2,2022,0.89,0.38,0.25,1.19,,,,0,6,Bot,74.71,97.36,,,,,3.150178518655273,-116.96531513605252,-4.643935632625113,7.535834755492307,22.03869133686168,-28.006817591271,3.57,1.66,219.0,92.5,14.0,80.9,2180.0,6.6,663243,575929,663845,606019,621550,663538,664023,666624,673548,53.87,0.931,0.911,0.9,1.0,1.0,0.0,4.0,40,6,Sweeper,0,1,0,1,1,0,0,1,Standard,Standard,77.0,0.064,0.51,,,1.126,-0.51,92.5,-1,-1,0.387,0.387,24,27,25,28,2,1,5.0,2.0,,,3.15,-0.89,-0.89,56.8
