pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2021-10-31,87.6,1.82,6.6,"Smyly, Drew",608665,592767,strikeout,called_strike,,,,,8.0,Kendall Graveman called out on strikes.,W,R,L,ATL,HOU,S,2.0,,3,2,2021,0.6,1.58,0.14,1.84,,,,2,9,Top,,,,,,,-5.243295011134217,-127.28864130064186,-8.534892267800245,7.535936765551439,25.51044906307755,-13.48016173643486,3.63,1.79,,,,87.0,1962.0,6.0,660911,518595,518692,645277,663586,621020,592696,594807,624585,54.54,,0.0,0.0,1.0,0.0,0.0,,79,6,Cutter,5,9,9,5,9,5,9,5,Standard,Standard,149.0,0.001,-0.348,,,,0.348,,-4,4,0.015,0.985,32,30,32,31,2,0,4.0,,,,1.4,0.6,-0.6,50.8
FC,2021-10-31,88.3,1.85,6.62,"Smyly, Drew",608665,592767,,ball,,,,,14.0,Kendall Graveman called out on strikes.,W,R,L,ATL,HOU,B,,,2,2,2021,0.74,1.41,1.1,2.13,,,,2,9,Top,,,,,,,-3.3473897229258247,-128.41341228273288,-7.712865275473181,8.906759659248292,26.53292308138985,-15.19130855516146,3.58,1.72,,,,87.6,1951.0,5.9,660911,518595,518692,645277,663586,621020,592696,594807,624585,54.62,,,,,,,,79,5,Cutter,5,9,9,5,9,5,9,5,Standard,Standard,151.0,0.0,0.112,,,,-0.112,,-4,4,0.015,0.985,32,30,32,31,2,0,4.0,,,,1.52,0.74,-0.74,50.3
FC,2021-10-31,88.0,1.86,6.64,"Smyly, Drew",608665,592767,,ball,,,,,14.0,Kendall Graveman called out on strikes.,W,R,L,ATL,HOU,B,,,1,2,2021,0.48,1.47,0.32,1.08,,,,2,9,Top,,,,,,,-4.689641580360721,-127.82017173226428,-10.37488007235842,6.259881948464817,25.593603284258982,-14.12704954987543,3.58,1.75,,,,87.6,2025.0,6.1,660911,518595,518692,645277,663586,621020,592696,594807,624585,54.43,,,,,,,,79,4,Cutter,5,9,9,5,9,5,9,5,Standard,Standard,156.0,0.0,0.048,,,,-0.048,,-4,4,0.015,0.985,32,30,32,31,2,0,4.0,,,,1.48,0.48,-0.48,51.9
KC,2021-10-31,78.0,2.11,6.59,"Smyly, Drew",608665,592767,,ball,,,,,14.0,Kendall Graveman called out on strikes.,W,R,L,ATL,HOU,B,,,0,2,2021,0.09,0.2,0.3,1.08,,,,2,9,Top,,,,,,,-4.034031002758129,-113.53254860883924,-5.265619323078693,1.5828750626028565,21.67504879136184,-29.65288653164266,3.71,1.79,,,,77.2,2027.0,5.8,660911,518595,518692,645277,663586,621020,592696,594807,624585,54.68,,,,,,,,79,3,Knuckle Curve,5,9,9,5,9,5,9,5,Standard,Standard,78.0,0.0,0.03,,,,-0.03,,-4,4,0.015,0.985,32,30,32,31,2,0,4.0,,,,3.56,0.09,-0.09,49.1
SI,2021-10-31,89.8,1.81,6.65,"Smyly, Drew",608665,592767,,called_strike,,,,,9.0,Kendall Graveman called out on strikes.,W,R,L,ATL,HOU,S,,,0,1,2021,0.7,1.7,0.54,1.79,,,,2,9,Top,,,,,,,-4.587104498062865,-130.42606345284648,-9.5359453042473,8.995677466895472,28.534590297286584,-10.88882788607637,3.74,1.75,,,,89.0,2128.0,6.0,660911,518595,518692,645277,663586,621020,592696,594807,624585,54.51,,,,,,,,79,2,Sinker,5,9,9,5,9,5,9,5,Standard,Standard,150.0,0.0,-0.063,,,,0.063,,-4,4,0.015,0.985,32,30,32,31,2,0,4.0,,,,1.14,0.7,-0.7,51.1
SI,2021-10-31,88.9,1.9,6.58,"Smyly, Drew",608665,592767,,called_strike,,,,,9.0,Kendall Graveman called out on strikes.,W,R,L,ATL,HOU,S,,,0,0,2021,0.7,1.54,0.7,2.21,,,,2,9,Top,,,,,,,-4.378424691049654,-129.17555084011994,-7.823151987778696,8.732015644146552,27.71914773299886,-13.455641425917774,3.69,1.77,,,,88.2,1992.0,6.0,660911,518595,518692,645277,663586,621020,592696,594807,624585,54.49,,,,,,,,79,1,Sinker,5,9,9,5,9,5,9,5,Standard,Standard,143.0,0.0,-0.047,,,,0.047,,-4,4,0.015,0.985,32,30,32,31,2,0,4.0,,,,1.36,0.7,-0.7,50.7
KC,2021-10-31,79.4,2.08,6.56,"Smyly, Drew",455117,592767,strikeout,swinging_strike,,,,,13.0,Martin Maldonado strikes out swinging.,W,R,L,ATL,HOU,S,2.0,,2,2,2021,-0.03,0.06,-0.31,0.98,,,,1,9,Top,,,,,,,-5.107243800640207,-115.44355900049662,-5.4555997464241095,0.7834498916850772,23.22726014354208,-30.776195624265945,3.37,1.53,,,,78.4,2060.0,5.8,660911,518595,518692,645277,663586,621020,592696,594807,624585,54.71,,0.0,0.0,1.0,0.0,0.0,,78,6,Knuckle Curve,5,9,9,5,9,5,9,5,Infield shift,Standard,72.0,0.001,-0.225,,,,0.225,,-4,4,0.014,0.986,32,34,32,35,2,4,4.0,1.0,,2.0,3.59,-0.03,0.03,49.5
KC,2021-10-31,79.3,2.17,6.54,"Smyly, Drew",455117,592767,,foul,,,,,5.0,Martin Maldonado strikes out swinging.,W,R,L,ATL,HOU,S,,,2,2,2021,0.42,0.0,0.22,2.38,,,,1,9,Top,,,,,,,-4.998469450611297,-115.43263349950077,-2.3355053288284555,4.64082287744729,20.823841412247223,-31.95106090996757,3.37,1.53,7.0,69.7,-21.0,78.7,2198.0,5.8,660911,518595,518692,645277,663586,621020,592696,594807,624585,54.73,,,,,,,,78,5,Knuckle Curve,5,9,9,5,9,5,9,5,Infield shift,Standard,43.0,0.0,0.0,,,,0.0,88.0,-4,4,0.014,0.986,32,34,32,35,2,4,4.0,1.0,,2.0,3.61,0.42,-0.42,47.9
KC,2021-10-31,78.3,2.09,6.5,"Smyly, Drew",455117,592767,,swinging_strike,,,,,14.0,Martin Maldonado strikes out swinging.,W,R,L,ATL,HOU,S,,,2,1,2021,0.11,0.2,0.01,0.53,,,,1,9,Top,,,,,,,-4.639710357183379,-113.81278986657304,-6.260831520146254,1.889879873407087,22.98069392026617,-29.438222541528173,3.37,1.53,,,,77.3,2088.0,5.8,660911,518595,518692,645277,663586,621020,592696,594807,624585,54.65,,,,,,,,78,4,Knuckle Curve,5,9,9,5,9,5,9,5,Infield shift,Standard,88.0,0.0,-0.084,,,,0.084,,-4,4,0.014,0.986,32,34,32,35,2,4,4.0,1.0,,2.0,3.56,0.11,-0.11,48.1
FC,2021-10-31,86.7,1.98,6.58,"Smyly, Drew",455117,592767,,ball,,,,,14.0,Martin Maldonado strikes out swinging.,W,R,L,ATL,HOU,B,,,1,1,2021,0.35,0.98,0.17,0.78,,,,1,9,Top,,,,,,,-4.997726410076581,-125.99423665965809,-9.603774353982306,4.74375663528615,24.901569339844404,-20.019112384214495,3.35,1.55,,,,86.3,1899.0,6.0,660911,518595,518692,645277,663586,621020,592696,594807,624585,54.45,,,,,,,,78,3,Cutter,5,9,9,5,9,5,9,5,Infield shift,Standard,137.0,0.0,0.06,,,,-0.06,,-4,4,0.014,0.986,32,34,32,35,2,4,4.0,1.0,,2.0,2.06,0.35,-0.35,50.1
