pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2020-09-27,85.5,-2.36,5.25,"Webb, Logan",502054,657277,force_out,hit_into_play,,,,,8.0,"Tommy Pham grounds into a force out, third baseman Evan Longoria to second baseman Wilmer Flores.   Mitch Moreland out at 2nd.",R,R,R,SF,SD,X,5.0,ground_ball,0,1,2020,-1.22,-0.1,0.13,2.03,543592.0,571976.0,519048.0,2,7,Top,93.77,152.48,,,,,8.35507740457745,-124.28155606866488,-1.144253271243428,-14.257028950382916,22.956773870035697,-33.16651431758348,3.44,1.63,47.0,105.5,0.0,86.2,1582.0,6.6,631002,663698,474832,527038,446334,543063,543105,643289,573262,53.9,0.493,0.478,0.0,1.0,0.0,0.0,4.0,56,2,Changeup,1,5,5,1,5,1,5,1,Standard,Standard,265.0,0.015,-0.21,,,0.574,0.21,105.5,-4,4,0.049,0.951,23,32,24,32,1,3,4.0,1.0,,3.0,3.2,1.22,1.22,21.2
SI,2020-09-27,91.4,-2.02,5.44,"Webb, Logan",502054,657277,,called_strike,,,,,6.0,"Tommy Pham grounds into a force out, third baseman Evan Longoria to second baseman Wilmer Flores.   Mitch Moreland out at 2nd.",R,R,R,SF,SD,S,,,0,0,2020,-1.37,0.48,0.47,2.48,543592.0,571976.0,519048.0,2,7,Top,,,,,,,9.216944104946307,-132.78837446251396,-2.647119882410587,-18.090517264954475,26.982031829358583,-26.08029487988656,3.32,1.55,,,,91.8,2016.0,6.5,631002,663698,474832,527038,446334,543063,543105,643289,573262,53.98,,,,,,,,56,1,Sinker,1,5,5,1,5,1,5,1,Standard,Standard,324.0,0.0,-0.039,,,,0.039,,-4,4,0.049,0.951,23,32,24,32,1,3,4.0,1.0,,3.0,2.24,1.37,1.37,24.1
SI,2020-09-27,92.9,-2.19,5.37,"Webb, Logan",571976,657277,double,hit_into_play,,,,,9.0,Wil Myers hits a ground-rule double (14) on a line drive down the right-field line.   Jorge Mateo scores.    Austin Nola to 3rd.,R,R,R,SF,SD,X,,line_drive,1,0,2020,-1.42,0.34,0.41,1.92,,622761.0,543592.0,2,7,Top,221.27,112.9,,,,,9.818538561226148,-135.03039120663044,-3.8473209247034026,-19.450765824290094,26.63891334499848,-27.370237835972738,3.35,1.54,271.0,86.0,23.0,93.7,1036.0,6.6,631002,663698,474832,527038,446334,543063,543105,643289,573262,53.9,0.273,0.254,1.25,1.0,1.0,1.0,3.0,54,2,Sinker,1,4,4,1,5,1,5,1,Standard,Standard,324.0,-0.049,0.936,,,0.352,-0.936,88.0,-3,3,0.101,0.899,23,29,24,30,1,3,4.0,2.0,,3.0,2.29,1.42,1.42,23.4
SI,2020-09-27,92.6,-2.03,5.38,"Webb, Logan",571976,657277,,ball,,,,,14.0,Wil Myers hits a ground-rule double (14) on a line drive down the right-field line.   Jorge Mateo scores.    Austin Nola to 3rd.,R,R,R,SF,SD,B,,,0,0,2020,-1.22,0.5,0.92,1.67,,622761.0,543592.0,2,7,Top,,,,,,,10.195655279389657,-134.57259507980046,-4.82316828306529,-16.90182461646734,25.873703685767413,-25.248430803870047,3.22,1.38,,,,93.2,2988.0,6.5,631002,663698,474832,527038,446334,543063,543105,643289,573262,54.04,,,,,,,,54,1,Sinker,1,4,4,1,4,1,4,1,Standard,Standard,188.0,0.0,0.035,,,,-0.035,,-3,3,0.101,0.899,23,29,24,30,1,3,4.0,2.0,,3.0,2.14,1.22,1.22,24.5
CH,2020-09-27,85.8,-2.11,5.32,"Webb, Logan",543592,657277,walk,blocked_ball,,,,,14.0,Austin Nola walks.,R,R,R,SF,SD,B,,,3,2,2020,-0.83,-0.31,2.02,0.38,,622761.0,,2,7,Top,,,,,,,11.505836956126451,-124.55837226857176,-4.886658109802585,-10.738465520912513,21.37432130630433,-34.672678336951165,3.33,1.51,,,,86.6,1520.0,6.6,631002,663698,474832,527038,446334,543063,543105,643289,573262,53.92,,0.698811,0.7,1.0,0.0,0.0,,53,6,Changeup,1,4,4,1,4,1,4,1,Standard,Standard,255.0,-0.002,0.13,,,,-0.13,,-3,3,0.103,0.897,23,30,24,31,1,3,4.0,1.0,,3.0,3.38,0.83,0.83,19.5
CH,2020-09-27,85.4,-2.17,5.38,"Webb, Logan",543592,657277,,called_strike,,,,,9.0,Austin Nola walks.,R,R,R,SF,SD,S,,,3,1,2020,-1.08,-0.29,0.57,1.87,,622761.0,,2,7,Top,,,,,,,8.664677847316808,-124.20668376055704,-1.4716997341393858,-12.772823113087457,21.60951046190355,-35.15014058705858,3.24,1.39,,,,86.2,1626.0,6.5,631002,663698,474832,527038,446334,543063,543105,643289,573262,53.96,,,,,,,,53,5,Changeup,1,4,4,1,4,1,4,1,Standard,Standard,262.0,0.0,-0.07,,,,0.07,,-3,3,0.103,0.897,23,30,24,31,1,3,4.0,1.0,,3.0,3.39,1.08,1.08,22.2
SI,2020-09-27,93.2,-1.97,5.4,"Webb, Logan",543592,657277,,blocked_ball,,,,,14.0,Austin Nola walks.,R,R,R,SF,SD,B,,,2,1,2020,-1.36,0.41,0.72,0.65,,622761.0,,2,7,Top,,,,,,,9.92001056423346,-135.3919454846325,-7.423772177145302,-18.720208849965083,25.84773484563482,-25.711658412917227,3.29,1.41,,,,93.9,1042.0,6.5,631002,663698,474832,527038,446334,543063,543105,643289,573262,53.98,,,,,,,,53,4,Sinker,1,4,4,1,4,1,4,1,Standard,Standard,133.0,0.0,0.06,,,,-0.06,,-3,3,0.103,0.897,23,30,24,31,1,3,4.0,1.0,,3.0,2.19,1.36,1.36,25.1
CH,2020-09-27,87.4,-2.07,5.36,"Webb, Logan",543592,657277,,ball,,,,,14.0,Austin Nola walks.,R,R,R,SF,SD,B,,,1,1,2020,-1.04,-0.39,1.16,2.01,,622761.0,,2,7,Top,,,,,,,9.978436108220814,-126.99895814079257,-1.2124055055139042,-13.158531947978988,21.829412302394953,-36.4096426983839,3.35,1.51,,,,88.4,1593.0,6.6,631002,663698,474832,527038,446334,543063,543105,643289,573262,53.87,,,,,,,,53,3,Changeup,1,4,4,1,4,1,4,1,Standard,Standard,270.0,0.0,0.028,,,,-0.028,,-3,3,0.103,0.897,23,30,24,31,1,3,4.0,1.0,,3.0,3.34,1.04,1.04,23.0
CH,2020-09-27,84.9,-2.1,5.22,"Webb, Logan",543592,657277,,foul,,,,,9.0,Austin Nola walks.,R,R,R,SF,SD,S,,,1,0,2020,-0.88,-0.21,0.5,1.84,,622761.0,,2,7,Top,,,,,,,7.8590047016214335,-123.49203798185818,-1.2021725384702455,-10.488504547044252,22.03563832225432,-34.36232590384596,3.34,1.55,2.0,72.6,-47.0,85.4,1533.0,6.4,631002,663698,474832,527038,446334,543063,543105,643289,573262,54.1,,,,,,,,53,2,Changeup,1,4,4,1,4,1,4,1,Standard,Standard,265.0,0.0,-0.043,,,,0.043,88.0,-3,3,0.103,0.897,23,30,24,31,1,3,4.0,1.0,,3.0,3.35,0.88,0.88,19.7
CH,2020-09-27,87.1,-2.17,5.36,"Webb, Logan",543592,657277,,ball,,,,,14.0,Austin Nola walks.,R,R,R,SF,SD,B,,,0,0,2020,-1.08,-0.11,1.46,0.84,,622761.0,,2,7,Top,,,,,,,10.941160032452634,-126.37894448013644,-4.5054486519642145,-13.65026522561413,23.273883260323764,-32.63319801888609,3.28,1.41,,,,87.5,1609.0,6.5,631002,663698,474832,527038,446334,543063,543105,643289,573262,53.99,,,,,,,,53,1,Changeup,1,4,4,1,4,1,4,1,Standard,Standard,259.0,0.0,0.036,,,,-0.036,,-3,3,0.103,0.897,23,30,24,31,1,3,4.0,1.0,,3.0,3.11,1.08,1.08,22.7
