pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2020-09-16,85.4,-0.92,5.97,"Odorizzi, Jake",543510,543606,,called_strike,,,,,3,James McCann strikes out swinging.,R,R,R,CWS,MIN,S,,,2,0,2020,0.52,0.46,0.38,3.21,,,,2,4,Bot,,,,,,,2.0027226926561132,-124.51835227826363,-1.204586223265148,5.1269603598270015,22.90731928027223,-27.3419851258642,3.29,1.47,,,,85.5,2328.0,6.1,631484,488671,593934,503556,518626,501303,592696,621439,596146,54.44,,,,,,,,32,3,Cutter,1,3,1,3,3,1,1,3,Infield shift,Standard,153.0,0.0,-0.073,,,,0.073,,-2,-2,0.252,0.252,30,30,30,30,1,1,26.0,1,,4,2.63,-0.52,-0.52,42.8
FF,2020-09-16,93.6,-1.09,5.83,"Odorizzi, Jake",543510,543606,,ball,,,,,12,James McCann strikes out swinging.,R,R,R,CWS,MIN,B,,,1,0,2020,-1.21,1.22,0.82,3.47,,,,2,4,Bot,,,,,,,7.562870717741283,-136.0848289612015,-2.9685472604105723,-16.71866323950467,32.35048277988087,-16.59452914352064,3.27,1.47,,,,92.7,2520.0,6.0,631484,488671,593934,503556,518626,501303,592696,621439,596146,54.5,,,,,,,,32,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shift,Standard,204.0,0.0,0.07,,,,-0.07,,-2,-2,0.252,0.252,30,30,30,30,1,1,26.0,1,,4,1.4,1.21,1.21,37.8
SL,2020-09-16,80.7,-0.87,6.04,"Odorizzi, Jake",543510,543606,,ball,,,,,14,James McCann strikes out swinging.,R,R,R,CWS,MIN,B,,,0,0,2020,0.62,0.18,1.6,1.95,,,,2,4,Bot,,,,,,,4.316661895230219,-117.49104858698573,-2.797989736234366,4.940198503212825,22.085247202440986,-30.23138516889228,3.2,1.47,,,,80.6,2342.0,6.1,631484,488671,593934,503556,518626,501303,592696,621439,596146,54.36,,,,,,,,32,1,Slider,1,3,1,3,3,1,1,3,Infield shift,Standard,133.0,0.0,0.046,,,,-0.046,,-2,-2,0.252,0.252,30,30,30,30,1,1,26.0,1,,4,3.32,-0.62,-0.62,45.4
SL,2020-09-16,83.9,-1.35,5.78,"Odorizzi, Jake",660162,543606,field_out,hit_into_play,,,,,2,Yoan Moncada flies out to center fielder Byron Buxton.,R,L,R,CWS,MIN,X,8.0,fly_ball,1,1,2020,0.54,0.02,-0.14,2.79,,,,1,4,Bot,113.23,82.89,,,,,1.7191674416833158,-122.30161836163732,-0.5921023308450246,5.099722743921251,23.53667340450709,-32.0315133083895,3.29,1.53,277.0,76.3,33.0,83.3,2341.0,5.7,631484,488671,593934,503556,518626,501303,592696,621439,596146,54.76,0.16,0.179,0.0,1.0,0.0,0.0,3.0,31,3,Slider,1,3,1,3,3,1,1,3,Infield shift,Standard,138.0,-0.019,-0.256,,,0.246,0.256,88.0,-2,-2,0.271,0.271,30,25,30,25,2,1,26.0,1,,1,3.2,-0.54,0.54,37.7
FF,2020-09-16,92.9,-1.26,5.75,"Odorizzi, Jake",660162,543606,,ball,,,,,11,Yoan Moncada flies out to center fielder Byron Buxton.,R,L,R,CWS,MIN,B,,,0,1,2020,-0.93,1.31,-0.94,3.56,,,,1,4,Bot,,,,,,,2.840103644449618,-135.26764462162703,-2.617957948404865,-12.054441043145957,32.76176840999731,-15.780392725173314,3.35,1.53,,,,91.9,2461.0,5.9,631484,488671,593934,503556,518626,501303,592696,621439,596146,54.58,,,,,,,,31,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shift,Standard,222.0,0.0,0.031,,,,-0.031,,-2,-2,0.271,0.271,30,25,30,25,2,1,26.0,1,,1,1.35,0.93,-0.93,34.1
FF,2020-09-16,93.2,-1.26,5.75,"Odorizzi, Jake",660162,543606,,called_strike,,,,,8,Yoan Moncada flies out to center fielder Byron Buxton.,R,L,R,CWS,MIN,S,,,0,0,2020,-1.2,0.95,0.24,2.04,,,,1,4,Bot,,,,,,,6.432002018972916,-135.53778751725082,-5.825898118636455,-16.227137550415996,29.696794903381463,-19.360235957371444,3.31,1.53,,,,92.4,2302.0,5.8,631484,488671,593934,503556,518626,501303,592696,621439,596146,54.65,,,,,,,,31,1,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shift,Standard,211.0,0.0,-0.041,,,,0.041,,-2,-2,0.271,0.271,30,25,30,25,2,1,26.0,1,,1,1.68,1.2,-1.2,35.6
FF,2020-09-16,93.2,-1.02,5.88,"Odorizzi, Jake",650391,543606,field_out,hit_into_play,,,,,11,Eloy Jimenez pops out to catcher Alex Avila.,R,R,R,CWS,MIN,X,2.0,popup,2,2,2020,-0.83,1.41,-0.4,3.63,,,,0,4,Bot,122.53,191.62,,,,,3.393006036320533,-135.7278001742875,-3.1650629683808273,-11.029385962246325,27.13884518665937,-14.200953790491672,3.41,1.65,28.0,74.2,80.0,93.1,2311.0,6.0,631484,488671,593934,503556,518626,501303,592696,621439,596146,54.49,0.0,0.0,0.0,1.0,0.0,0.0,3.0,30,6,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shift,Standard,206.0,-0.029,-0.24,,,0.0,0.24,88.0,-2,-2,0.3,0.3,30,23,30,24,2,1,26.0,1,,1,1.19,0.83,0.83,41.8
FS,2020-09-16,86.1,-0.92,5.76,"Odorizzi, Jake",650391,543606,,ball,,,,,13,Eloy Jimenez pops out to catcher Alex Avila.,R,R,R,CWS,MIN,B,,,1,2,2020,-0.94,1.01,-0.02,-0.33,,,,0,4,Bot,,,,,,,4.058630294149161,-125.15284874890484,-10.341426362312944,-10.66208608953698,22.178141313803454,-19.761794985171186,3.57,1.65,,,,86.7,1627.0,6.4,631484,488671,593934,503556,518626,501303,592696,621439,596146,54.05,,,,,,,,30,5,Split-Finger,1,3,1,3,3,1,1,3,Infield shift,Standard,214.0,0.0,0.039,,,,-0.039,,-2,-2,0.3,0.3,30,23,30,24,2,1,26.0,1,,1,2.04,0.94,0.94,40.6
SL,2020-09-16,83.3,-0.84,5.93,"Odorizzi, Jake",650391,543606,,foul,,,,,12,Eloy Jimenez pops out to catcher Alex Avila.,R,R,R,CWS,MIN,S,,,1,2,2020,0.38,-0.06,1.3,2.98,,,,0,4,Bot,,,,,,,4.168223942185978,-121.34938080552088,-0.2607897201364106,3.0031981632829634,22.544830314235043,-32.88194391935272,3.41,1.65,156.0,64.9,66.0,83.5,2219.0,6.3,631484,488671,593934,503556,518626,501303,592696,621439,596146,54.24,,,,,,,,30,4,Slider,1,3,1,3,3,1,1,3,Infield shift,Standard,140.0,0.0,0.0,,,,0.0,88.0,-2,-2,0.3,0.3,30,23,30,24,2,1,26.0,1,,1,3.32,-0.38,-0.38,44.9
FC,2020-09-16,89.1,-0.76,6.02,"Odorizzi, Jake",650391,543606,,ball,,,,,14,Eloy Jimenez pops out to catcher Alex Avila.,R,R,R,CWS,MIN,B,,,0,2,2020,0.19,1.03,2.22,0.45,,,,0,4,Bot,,,,,,,6.92343814588177,-129.48355305096757,-9.875075028988617,0.904040266765064,23.06764404078351,-18.863090192044577,3.47,1.65,,,,89.4,2316.0,6.2,631484,488671,593934,503556,518626,501303,592696,621439,596146,54.27,,,,,,,,30,3,Cutter,1,3,1,3,3,1,1,3,Infield shift,Standard,179.0,0.0,0.03,,,,-0.03,,-2,-2,0.3,0.3,30,23,30,24,2,1,26.0,1,,1,1.82,-0.19,-0.19,45.4
FF,2020-09-16,93.5,-1.02,5.94,"Odorizzi, Jake",650391,543606,,foul,,,,,2,Eloy Jimenez pops out to catcher Alex Avila.,R,R,R,CWS,MIN,S,,,0,1,2020,-0.94,1.43,0.02,2.96,,,,0,4,Bot,,,,,,,4.700691996278272,-136.0120671548482,-5.080967402123488,-12.727310964274352,29.542000158443628,-13.45976027598896,3.41,1.65,,,,92.9,2426.0,5.9,631484,488671,593934,503556,518626,501303,592696,621439,596146,54.58,,,,,,,,30,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shift,Standard,211.0,0.0,-0.062,,,,0.062,,-2,-2,0.3,0.3,30,23,30,24,2,1,26.0,1,,1,1.17,0.94,0.94,39.5
FF,2020-09-16,93.8,-1.11,5.9,"Odorizzi, Jake",650391,543606,,foul,,,,,11,Eloy Jimenez pops out to catcher Alex Avila.,R,R,R,CWS,MIN,S,,,0,0,2020,-1.01,1.23,-0.86,3.12,,,,0,4,Bot,,,,,,,2.8551916324161053,-136.52105941743267,-4.124696428330094,-13.22956109111996,31.32960723523347,-16.114562200493374,3.41,1.65,218.0,68.0,34.0,93.0,2275.0,5.9,631484,488671,593934,503556,518626,501303,592696,621439,596146,54.58,,,,,,,,30,1,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shift,Standard,215.0,0.0,-0.046,,,,0.046,88.0,-2,-2,0.3,0.3,30,23,30,24,2,1,26.0,1,,1,1.37,1.01,1.01,39.3
FS,2020-09-16,86.6,-1.14,5.77,"Odorizzi, Jake",547989,543606,home_run,hit_into_play,,,,,7,Jose Abreu homers (16) on a line drive to left field.,R,R,R,CWS,MIN,X,,line_drive,3,2,2020,-1.02,0.69,-0.46,1.94,,,,0,4,Bot,30.23,61.67,,,,,3.714952160702802,-126.17685223824084,-4.45455864958411,-11.686065669838868,21.456791498189833,-24.146563060341094,3.46,1.61,393.0,108.9,18.0,87.2,1365.0,6.2,631484,488671,593934,503556,518626,501303,592696,621439,596146,54.26,0.713,0.985,2.0,1.0,0.0,3.0,6.0,29,7,Split-Finger,0,3,0,3,3,1,1,3,Standard,Standard,220.0,0.097,1.038,,,1.688,-1.038,108.9,-3,-3,0.203,0.203,30,33,30,33,2,1,26.0,1,,1,2.3,1.02,1.02,39.1
FF,2020-09-16,93.4,-1.2,5.91,"Odorizzi, Jake",547989,543606,,ball,,,,,11,Jose Abreu homers (16) on a line drive to left field.,R,R,R,CWS,MIN,B,,,2,2,2020,-1.04,1.5,-0.77,4.07,,,,0,4,Bot,,,,,,,3.3911383447469303,-136.00141365615562,-2.3078623239056957,-13.725935266385187,27.901517086318854,-13.225438357610624,3.39,1.61,,,,93.4,2300.0,6.1,631484,488671,593934,503556,518626,501303,592696,621439,596146,54.39,,,,,,,,29,6,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,211.0,0.0,0.115,,,,-0.115,,-3,-3,0.203,0.203,30,33,30,33,2,1,26.0,1,,1,1.1,1.04,1.04,37.5
SL,2020-09-16,80.1,-0.98,5.98,"Odorizzi, Jake",547989,543606,,foul,,,,,14,Jose Abreu homers (16) on a line drive to left field.,R,R,R,CWS,MIN,S,,,2,2,2020,0.5,0.1,0.95,2.04,,,,0,4,Bot,,,,,,,3.313950238048287,-116.71576538827225,-2.250885882640432,4.023399794247541,20.30635501084975,-31.01439014496161,3.46,1.61,,,,80.1,2188.0,6.0,631484,488671,593934,503556,518626,501303,592696,621439,596146,54.46,,,,,,,,29,5,Slider,0,3,0,3,3,0,0,3,Standard,Standard,139.0,0.0,0.0,,,,0.0,,-3,-3,0.203,0.203,30,33,30,33,2,1,26.0,1,,1,3.42,-0.5,-0.5,44.8
SL,2020-09-16,82.0,-0.94,5.98,"Odorizzi, Jake",547989,543606,,swinging_strike,,,,,6,Jose Abreu homers (16) on a line drive to left field.,R,R,R,CWS,MIN,S,,,2,1,2020,0.47,0.03,0.77,2.31,,,,0,4,Bot,,,,,,,2.9456986710567525,-119.355023856654,-1.774680043606991,3.924860787524194,23.639086522324725,-31.78973908529282,3.46,1.61,,,,81.6,2118.0,6.0,631484,488671,593934,503556,518626,501303,592696,621439,596146,54.46,,,,,,,,29,4,Slider,0,3,0,3,3,0,0,3,Infield shift,Standard,137.0,0.0,-0.085,,,,0.085,,-3,-3,0.203,0.203,30,33,30,33,2,1,26.0,1,,1,3.37,-0.47,-0.47,43.4
FF,2020-09-16,92.9,-1.16,5.84,"Odorizzi, Jake",547989,543606,,ball,,,,,11,Jose Abreu homers (16) on a line drive to left field.,R,R,R,CWS,MIN,B,,,1,1,2020,-1.09,1.34,-1.19,4.73,,,,0,4,Bot,,,,,,,2.2757045357652346,-135.18969487224598,0.0452580256126402,-13.7678933450533,32.03383524346078,-16.132064630144388,3.36,1.61,,,,91.7,2256.0,5.8,631484,488671,593934,503556,518626,501303,592696,621439,596146,54.71,,,,,,,,29,3,4-Seam Fastball,0,3,0,3,3,0,0,3,Infield shift,Standard,212.0,0.0,0.057,,,,-0.057,,-3,-3,0.203,0.203,30,33,30,33,2,1,26.0,1,,1,1.32,1.09,1.09,35.3
