pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-14,91.8,-3.11,5.27,"Scherzer, Max",645302,453286,field_out,hit_into_play,,,,,12,Victor Robles flies out to right fielder Adolis García.,R,R,R,SEA,TEX,X,9.0,fly_ball,1,2,2024,-0.84,1.21,0.35,3.3,,,668942.0,2,4,Bot,183.28,65.97,,,,,10.52295401687613,-133.3643741286207,-1.730918913431641,-12.314931515025052,28.171679186754343,-17.542424234613044,3.14,1.46,357.0,96.7,29.0,91.6,2203,6.2,745209,608348,663993,543760,673962,669701,694671,665750,666969,54.29,0.306,0.545,0.0,1.0,0.0,0.0,5.0,35,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,225,-0.028,-0.197,,,0.997,0.197,96.7,0,0,0.528,0.528,39,27,40,27,3,2,46.0,1,,1.0,1.5,0.84,0.84,26.7
SL,2024-09-14,84.5,-3.05,5.38,"Scherzer, Max",645302,453286,,foul,,,,,14,Victor Robles flies out to right fielder Adolis García.,R,R,R,SEA,TEX,S,,,1,1,2024,0.5,0.38,1.31,1.48,,,668942.0,2,4,Bot,,,,,,,9.156751087957884,-122.86632464736444,-3.533636696829868,3.413168962401637,22.448705914284524,-27.840875044163745,3.14,1.46,4.0,56.8,-20.0,84.7,2468,6.3,745209,608348,663993,543760,673962,669701,694671,665750,666969,54.19,,,,,,,,35,3,Slider,2,2,2,2,2,2,2,2,Standard,Standard,178,0.0,-0.06,36.4,6.6,,0.06,88.0,0,0,0.528,0.528,39,27,40,27,3,2,46.0,1,,1.0,2.8,-0.5,-0.5,30.9
CU,2024-09-14,74.4,-2.88,5.57,"Scherzer, Max",645302,453286,,swinging_strike,,,,,14,Victor Robles flies out to right fielder Adolis García.,R,R,R,SEA,TEX,S,,,1,0,2024,1.11,-0.88,0.84,1.39,,,668942.0,2,4,Bot,,,,,,,5.704696692111916,-108.25989083482688,0.2207129562264524,7.654833915329268,19.905891523689537,-39.348967981941854,3.14,1.46,,,,74.4,2626,6.4,745209,608348,663993,543760,673962,669701,694671,665750,666969,54.1,,,,,,,,35,2,Curveball,2,2,2,2,2,2,2,2,Standard,Standard,51,0.0,-0.048,71.5,7.4,,0.048,,0,0,0.528,0.528,39,27,40,27,3,2,46.0,1,,1.0,5.02,-1.11,-1.11,37.1
FF,2024-09-14,92.5,-2.92,5.52,"Scherzer, Max",645302,453286,,ball,,,,,11,Victor Robles flies out to right fielder Adolis García.,R,R,R,SEA,TEX,B,,,0,0,2024,-0.86,1.47,-0.69,3.73,,,668942.0,2,4,Bot,,,,,,,7.538558756222327,-134.5474486428257,-1.9352662571668076,-12.092546967306069,30.623282858048945,-14.15456549403376,3.14,1.47,,,,92.2,2249,6.2,745209,608348,663993,543760,673962,669701,694671,665750,666969,54.28,,,,,,,,35,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Strategic,Standard,221,0.0,0.034,,,,-0.034,,0,0,0.528,0.528,39,27,40,27,3,2,46.0,1,,1.0,1.21,0.86,0.86,28.7
FF,2024-09-14,92.0,-2.95,5.47,"Scherzer, Max",668942,453286,single,hit_into_play,,,,,12,Josh Rojas singles on a line drive to right fielder Adolis García.,R,L,R,SEA,TEX,X,9.0,line_drive,2,2,2024,-0.6,1.37,0.88,2.7,,,,2,4,Bot,197.16,124.74,,,,,10.9805491784786,-133.564552593114,-4.145467869253743,-9.495583968690822,28.234850218306285,-15.06851384712855,3.48,1.61,182.0,79.7,17.0,91.7,2269,6.2,745209,608348,663993,543760,673962,669701,694671,665750,666969,54.3,0.974,0.907,0.9,1.0,1.0,0.0,4.0,34,6,4-Seam Fastball,2,2,2,2,2,2,2,2,Infield shade,Standard,219,0.015,0.37,62.2,6.7,1.08,-0.37,88.0,0,0,0.513,0.513,39,30,40,30,2,1,46.0,1,,3.0,1.33,0.6,-0.6,30.6
CU,2024-09-14,73.6,-2.84,5.56,"Scherzer, Max",668942,453286,,ball,,,,,14,Josh Rojas singles on a line drive to right fielder Adolis García.,R,L,R,SEA,TEX,B,,,1,2,2024,1.23,-0.8,0.9,0.36,,,,2,4,Bot,,,,,,,5.449905594165123,-107.10761067320873,-1.838624515217581,8.445063098278446,19.158274747790458,-38.205757202853256,3.42,1.62,,,,73.5,2643,6.3,745209,608348,663993,543760,673962,669701,694671,665750,666969,54.2,,,,,,,,34,5,Curveball,2,2,2,2,2,2,2,2,Infield shade,Standard,56,0.0,0.039,,,,-0.039,,0,0,0.513,0.513,39,30,40,30,2,1,46.0,1,,3.0,5.02,-1.23,1.23,34.4
FF,2024-09-14,91.2,-2.94,5.59,"Scherzer, Max",668942,453286,,foul,,,,,1,Josh Rojas singles on a line drive to right fielder Adolis García.,R,L,R,SEA,TEX,S,,,1,2,2024,-0.71,1.52,-0.54,3.34,,,,2,4,Bot,,,,,,,7.525852852473923,-132.72300659462553,-3.03760735081212,-9.90320032415777,26.75619397680646,-13.74864108377133,3.48,1.61,280.0,85.2,42.0,91.1,2156,6.1,745209,608348,663993,543760,673962,669701,694671,665750,666969,54.41,,,,,,,,34,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Infield shade,Standard,220,0.0,0.0,63.5,5.7,,0.0,88.0,0,0,0.513,0.513,39,30,40,30,2,1,46.0,1,,3.0,1.21,0.71,-0.71,32.1
SL,2024-09-14,85.6,-3.02,5.47,"Scherzer, Max",668942,453286,,ball,,,,,14,Josh Rojas singles on a line drive to right fielder Adolis García.,R,L,R,SEA,TEX,B,,,0,2,2024,0.29,0.41,1.71,1.2,,,,2,4,Bot,,,,,,,10.543466142874871,-124.30694027735352,-4.632085120493306,1.153566864016678,22.431214576725253,-27.234954503653174,3.48,1.61,,,,85.6,2370,6.2,745209,608348,663993,543760,673962,669701,694671,665750,666969,54.3,,,,,,,,34,3,Slider,2,2,2,2,2,2,2,2,Standard,Standard,206,0.0,0.023,,,,-0.023,,0,0,0.513,0.513,39,30,40,30,2,1,46.0,1,,3.0,2.69,-0.29,0.29,31.2
SL,2024-09-14,84.5,-3.2,5.29,"Scherzer, Max",668942,453286,,foul,,,,,6,Josh Rojas singles on a line drive to right fielder Adolis García.,R,L,R,SEA,TEX,S,,,0,1,2024,0.31,0.46,0.77,2.26,,,,2,4,Bot,,,,,,,8.64362633801482,-122.95994371761331,-1.6823683221356047,1.6411849076721576,21.723680547755333,-27.321711461110407,3.48,1.61,339.0,92.9,38.0,84.9,2403,6.3,745209,608348,663993,543760,673962,669701,694671,665750,666969,54.2,,,,,,,,34,2,Slider,2,2,2,2,2,2,2,2,Standard,Standard,173,0.0,-0.058,66.9,8.1,,0.058,92.9,0,0,0.513,0.513,39,30,40,30,2,1,46.0,1,,3.0,2.7,-0.31,0.31,28.1
FF,2024-09-14,91.3,-2.98,5.57,"Scherzer, Max",668942,453286,,foul,,,,,2,Josh Rojas singles on a line drive to right fielder Adolis García.,R,L,R,SEA,TEX,S,,,0,0,2024,-1.06,1.36,-0.25,3.24,,,,2,4,Bot,,,,,,,9.105048137880878,-132.59367657549552,-2.8381020802930577,-14.468194890510338,29.431135599191013,-15.784162195945674,3.48,1.61,213.0,78.8,61.0,90.6,2351,6.1,745209,608348,663993,543760,673962,669701,694671,665750,666969,54.44,,,,,,,,34,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,220,0.0,-0.041,65.1,6.5,,0.041,88.0,0,0,0.513,0.513,39,30,40,30,2,1,46.0,1,,3.0,1.4,1.06,-1.06,32.7
