pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2022-10-22,91.3,-1.49,5.56,"Clevinger, Mike",547180,605182,double,hit_into_play,,,,,9.0,Bryce Harper doubles (5) on a line drive to center fielder Trent Grisham.   J.T. Realmuto scores.,L,L,R,PHI,SD,X,8.0,line_drive,1,0,2022,-0.97,1.27,0.36,1.86,,,592663.0,0,1,Bot,166.72,58.81,,,,,6.786228448833774,-132.68506438443765,-6.153434885442818,-12.997984243485462,30.02826666318873,-16.006939036131925,3.27,1.61,376.0,111.0,19.0,91.5,2179.0,6.6,715728,543592,592273,630105,592518,673490,595777,663757,665742,53.86,0.837,1.313,1.25,1.0,1.0,1.0,6.0,12,2,Sinker,2,4,2,4,4,3,3,4,Infield shift,Standard,206.0,0.125,0.666,,,2.285,-0.666,111.0,-2,-2,0.381,0.381,31,29,32,30,1,0,11.0,1.0,,1.0,1.48,0.97,-0.97,34.4
SL,2022-10-22,80.3,-1.46,5.64,"Clevinger, Mike",547180,605182,,blocked_ball,,,,,14.0,Bryce Harper doubles (5) on a line drive to center fielder Trent Grisham.   J.T. Realmuto scores.,L,L,R,PHI,SD,B,,,0,0,2022,1.2,0.1,2.35,-0.11,,,592663.0,0,1,Bot,,,,,,,6.165370919571424,-116.7206532579007,-6.18489203959839,9.725764726641948,23.258029599353353,-30.247710465044584,3.29,1.67,,,,80.3,2391.0,6.5,715728,543592,592273,630105,592518,673490,595777,663757,665742,54.03,,,,,,,,12,1,Slider,2,4,2,4,4,2,2,4,Infield shift,Standard,46.0,0.0,0.039,,,,-0.039,,-2,-2,0.381,0.381,31,29,32,30,1,0,11.0,1.0,,1.0,3.46,-1.2,1.2,36.1
FF,2022-10-22,94.7,-1.42,5.63,"Clevinger, Mike",592663,605182,walk,ball,,,,,13.0,J.T. Realmuto walks.,L,R,R,PHI,SD,B,,,3,0,2022,-0.61,1.58,-0.34,1.53,,,,0,1,Bot,,,,,,,4.20452680807622,-137.67993768696996,-8.582430117140307,-8.627058674009566,30.17540293570947,-10.325748389792675,3.7,1.67,,,,95.2,2305.0,6.6,715728,543592,592273,630105,592518,673490,595777,663757,665742,53.93,,0.688744,0.7,1.0,0.0,0.0,,11,4,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,212.0,0.039,0.188,,,,-0.188,,-2,-2,0.342,0.342,31,31,32,31,1,0,11.0,1.0,,1.0,0.96,0.61,0.61,35.9
SL,2022-10-22,80.8,-1.37,5.7,"Clevinger, Mike",592663,605182,,ball,,,,,13.0,J.T. Realmuto walks.,L,R,R,PHI,SD,B,,,2,0,2022,0.97,0.03,-0.47,1.43,,,,0,1,Bot,,,,,,,0.1593100845284427,-117.78561087482495,-2.9652243417549196,9.05288366212586,21.860130924774623,-31.529126230956443,3.7,1.77,,,,80.8,2489.0,6.2,715728,543592,592273,630105,592518,673490,595777,663757,665742,54.33,,,,,,,,11,3,Slider,2,4,2,4,4,2,2,4,Standard,Standard,49.0,0.0,0.149,,,,-0.149,,-2,-2,0.342,0.342,31,31,32,31,1,0,11.0,1.0,,1.0,3.44,-0.97,-0.97,37.1
FF,2022-10-22,94.1,-1.57,5.42,"Clevinger, Mike",592663,605182,,ball,,,,,14.0,J.T. Realmuto walks.,L,R,R,PHI,SD,B,,,1,0,2022,-0.94,1.38,1.22,0.96,,,,0,1,Bot,,,,,,,9.332234362739408,-136.52769038002313,-8.935796640285632,-13.833538760297102,29.668533170776,-13.068206909266893,3.6,1.72,,,,94.3,2244.0,6.6,715728,543592,592273,630105,592518,673490,595777,663757,665742,53.94,,,,,,,,11,2,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,217.0,0.0,0.07,,,,-0.07,,-2,-2,0.342,0.342,31,31,32,31,1,0,11.0,1.0,,1.0,1.21,0.94,0.94,30.3
SL,2022-10-22,79.7,-1.32,5.73,"Clevinger, Mike",592663,605182,,ball,,,,,14.0,J.T. Realmuto walks.,L,R,R,PHI,SD,B,,,0,0,2022,1.46,-0.32,1.35,0.9,,,,0,1,Bot,,,,,,,3.1324787517037422,-116.03139653832882,-3.2326339190729207,12.501631309290934,22.672134281611047,-34.68256949413223,3.6,1.7,,,,79.5,2405.0,6.2,715728,543592,592273,630105,592518,673490,595777,663757,665742,54.27,,,,,,,,11,1,Slider,2,4,2,4,4,2,2,4,Standard,Standard,45.0,0.0,0.037,,,,-0.037,,-2,-2,0.342,0.342,31,31,32,31,1,0,11.0,1.0,,1.0,3.92,-1.46,-1.46,40.3
FF,2022-10-22,94.2,-1.58,5.5,"Clevinger, Mike",656555,605182,home_run,hit_into_play,,,,,5.0,Rhys Hoskins homers (3) on a fly ball to left center field.   Kyle Schwarber scores.,L,R,R,PHI,SD,X,,fly_ball,3,2,2022,-0.55,1.22,-0.05,2.77,,,656941.0,0,1,Bot,61.5,57.48,,,,,5.217358147279154,-137.09483968069733,-4.079303122897717,-8.107054059724444,31.74388321093804,-16.129397815656745,3.59,1.7,384.0,101.3,28.0,94.3,1878.0,6.5,715728,543592,592273,630105,592518,673490,595777,663757,665742,54.03,0.649,1.238,2.0,1.0,0.0,3.0,6.0,10,6,4-Seam Fastball,0,4,0,4,4,2,2,4,Standard,Standard,219.0,0.128,0.974,,,2.305,-0.974,101.3,-4,-4,0.214,0.214,31,29,32,29,1,0,11.0,1.0,,1.0,1.36,0.55,0.55,31.1
FF,2022-10-22,94.2,-1.23,5.8,"Clevinger, Mike",656555,605182,,ball,,,,,12.0,Rhys Hoskins homers (3) on a fly ball to left center field.   Kyle Schwarber scores.,L,R,R,PHI,SD,B,,,2,2,2022,-0.5,1.54,2.46,3.05,,,656941.0,0,1,Bot,,,,,,,10.704657180337088,-136.64456105180983,-4.809127107894802,-8.683146680046098,31.875047783130587,-11.969904405960108,3.62,1.7,,,,94.2,2191.0,6.6,715728,543592,592273,630105,592518,673490,595777,663757,665742,53.92,,,,,,,,10,5,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,211.0,0.0,0.097,,,,-0.097,,-4,-4,0.214,0.214,31,29,32,29,1,0,11.0,1.0,,1.0,1.05,0.5,0.5,38.5
FF,2022-10-22,92.6,-1.58,5.48,"Clevinger, Mike",656555,605182,,called_strike,,,,,6.0,Rhys Hoskins homers (3) on a fly ball to left center field.   Kyle Schwarber scores.,L,R,R,PHI,SD,S,,,2,1,2022,-0.74,1.42,0.67,2.6,,,656941.0,0,1,Bot,,,,,,,7.400120624076254,-134.56973423316734,-4.633808617327669,-10.69107834414599,30.91551129323244,-14.133048478163174,3.7,1.72,,,,92.8,2111.0,6.6,715728,543592,592273,630105,592518,673490,595777,663757,665742,53.89,,,,,,,,10,4,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,213.0,0.0,-0.066,,,,0.066,,-4,-4,0.214,0.214,31,29,32,29,1,0,11.0,1.0,,1.0,1.26,0.74,0.74,30.6
SI,2022-10-22,91.9,-1.48,5.65,"Clevinger, Mike",656555,605182,,ball,,,,,13.0,Rhys Hoskins homers (3) on a fly ball to left center field.   Kyle Schwarber scores.,L,R,R,PHI,SD,B,,,1,1,2022,-1.12,1.34,-2.05,2.41,,,656941.0,0,1,Bot,,,,,,,0.9649659058004776,-133.77316937765957,-5.267041353921311,-13.63886619775302,29.43337541539932,-15.127501360261908,3.65,1.72,,,,91.8,2112.0,6.3,715728,543592,592273,630105,592518,673490,595777,663757,665742,54.23,,,,,,,,10,3,Sinker,0,4,0,4,4,0,0,4,Standard,Standard,211.0,0.0,0.064,,,,-0.064,,-4,-4,0.214,0.214,31,29,32,29,1,0,11.0,1.0,,1.0,1.36,1.12,1.12,34.6
