pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
ST,2022-10-23,81.5,-2.1,5.73,"Darvish, Yu",681082,506433,double,hit_into_play,,,,,8.0,Bryson Stott doubles (4) on a sharp line drive to right fielder Juan Soto.,L,L,R,PHI,SD,X,9.0,line_drive,3,2,2022,1.45,-0.14,0.07,1.78,,,,0,7,Bot,212.13,89.33,,,,,2.0998679632793102,-118.6178503697078,-1.907051962312845,13.05272953949811,26.46905428856667,-33.29285265337751,3.19,1.46,305.0,102.8,17.0,81.0,2794.0,6.3,715727,543592,592273,630105,592518,673490,595777,663757,665742,54.15,0.48,0.552,1.25,1.0,1.0,1.0,5.0,51,6,Sweeper,2,3,2,3,3,2,2,3,Infield shade,Standard,51.0,0.134,0.619,,,0.837,-0.619,102.8,-1,-1,0.354,0.354,35,24,36,25,3,2,5.0,1.0,,5.0,3.62,-1.45,1.45,42.8
SL,2022-10-23,84.7,-2.09,5.7,"Darvish, Yu",681082,506433,,called_strike,,,,,8.0,Bryson Stott doubles (4) on a sharp line drive to right fielder Juan Soto.,L,L,R,PHI,SD,S,,,3,1,2022,0.53,0.19,-0.15,1.87,,,,0,7,Bot,,,,,,,3.5026126471962367,-123.32662613238136,-3.0221021274622393,4.688567800726434,24.020987905351436,-29.83176761530962,3.27,1.57,,,,85.6,2810.0,6.8,715727,543592,592273,630105,592518,673490,595777,663757,665742,53.7,,,,,,,,51,5,Slider,2,3,2,3,3,2,2,3,Standard,Standard,107.0,0.0,-0.085,,,,0.085,,-1,-1,0.354,0.354,35,24,36,25,3,2,5.0,1.0,,5.0,2.98,-0.53,0.53,41.8
SL,2022-10-23,84.8,-2.05,5.77,"Darvish, Yu",681082,506433,,ball,,,,,11.0,Bryson Stott doubles (4) on a sharp line drive to right fielder Juan Soto.,L,L,R,PHI,SD,B,,,2,1,2022,0.43,0.09,-1.09,2.52,,,,0,7,Bot,,,,,,,1.3755158094547433,-123.5033323006434,-1.446671134116713,4.176743780221511,24.34211111485267,-31.17258660590018,3.27,1.47,,,,85.2,2761.0,6.5,715727,543592,592273,630105,592518,673490,595777,663757,665742,54.05,,,,,,,,51,4,Slider,2,3,2,3,3,2,2,3,Standard,Standard,114.0,0.0,0.127,,,,-0.127,,-1,-1,0.354,0.354,35,24,36,25,3,2,5.0,1.0,,5.0,3.07,-0.43,0.43,43.2
ST,2022-10-23,80.3,-2.12,5.73,"Darvish, Yu",681082,506433,,ball,,,,,14.0,Bryson Stott doubles (4) on a sharp line drive to right fielder Juan Soto.,L,L,R,PHI,SD,B,,,1,1,2022,1.42,-0.28,1.38,0.8,,,,0,7,Bot,,,,,,,5.073021894945932,-116.79452974363592,-3.648497679645222,11.91520318179399,23.83550945130032,-34.1745683003142,3.29,1.55,,,,80.4,2906.0,6.6,715727,543592,592273,630105,592518,673490,595777,663757,665742,53.93,,,,,,,,51,3,Sweeper,2,3,2,3,3,2,2,3,Standard,Standard,44.0,0.0,0.055,,,,-0.055,,-1,-1,0.354,0.354,35,24,36,25,3,2,5.0,1.0,,5.0,3.84,-1.42,1.42,40.7
ST,2022-10-23,79.7,-2.3,5.61,"Darvish, Yu",681082,506433,,called_strike,,,,,6.0,Bryson Stott doubles (4) on a sharp line drive to right fielder Juan Soto.,L,L,R,PHI,SD,S,,,1,0,2022,1.34,0.22,0.33,2.43,,,,0,7,Bot,,,,,,,3.2463700574652457,-116.03018732397337,-0.5988897504054115,11.369762421961893,24.03666619247412,-30.285004409757285,3.19,1.47,,,,79.7,2847.0,6.5,715727,543592,592273,630105,592518,673490,595777,663757,665742,54.0,,,,,,,,51,2,Sweeper,2,3,2,3,3,2,2,3,Standard,Standard,61.0,0.0,-0.048,,,,0.048,,-1,-1,0.354,0.354,35,24,36,25,3,2,5.0,1.0,,5.0,3.39,-1.34,1.34,35.3
ST,2022-10-23,79.2,-2.28,5.63,"Darvish, Yu",681082,506433,,ball,,,,,13.0,Bryson Stott doubles (4) on a sharp line drive to right fielder Juan Soto.,L,L,R,PHI,SD,B,,,0,0,2022,1.15,0.25,-0.94,1.47,,,,0,7,Bot,,,,,,,0.7754214594173778,-115.293202393942,-2.775796315611088,10.107582373682222,21.848141731906512,-29.607239981437495,3.24,1.46,,,,79.3,2711.0,6.4,715727,543592,592273,630105,592518,673490,595777,663757,665742,54.1,,,,,,,,51,1,Sweeper,2,3,2,3,3,2,2,3,Standard,Standard,54.0,0.0,0.037,,,,-0.037,,-1,-1,0.354,0.354,35,24,36,25,3,2,5.0,1.0,,5.0,3.38,-1.15,1.15,35.7
ST,2022-10-23,81.0,-2.29,5.47,"Darvish, Yu",664761,506433,field_out,hit_into_play,,,,,2.0,Alec Bohm flies out sharply to left fielder Jurickson Profar.,L,R,R,PHI,SD,X,7.0,fly_ball,1,0,2022,1.54,0.13,-0.27,3.1,,,,2,6,Bot,82.92,97.11,,,,,1.5772570859973665,-117.92520157053931,1.1410194902820192,14.063048121991796,22.88808062782759,-31.432104708618834,3.44,1.55,275.0,100.1,44.0,81.8,2575.0,6.8,715727,543592,592273,630105,592518,673490,595777,663757,665742,53.68,0.046,0.076,0.0,1.0,0.0,0.0,3.0,45,2,Sweeper,2,1,2,1,1,2,2,1,Standard,Standard,68.0,-0.01,-0.296,,,0.151,0.296,100.1,1,1,0.71,0.71,35,25,36,26,3,2,5.0,1.0,,5.0,3.35,-1.54,-1.54,37.0
FC,2022-10-23,90.4,-1.99,5.77,"Darvish, Yu",664761,506433,,ball,,,,,11.0,Alec Bohm flies out sharply to left fielder Jurickson Profar.,L,R,R,PHI,SD,B,,,0,0,2022,-0.22,1.36,-0.08,4.98,,,,2,6,Bot,,,,,,,5.263233400753737,-131.58061981284942,1.0729720020858853,-3.679082479381803,26.89979299526595,-16.780189178040487,3.6,1.65,,,,91.0,2413.0,6.6,715727,543592,592273,630105,592518,673490,595777,663757,665742,53.94,,,,,,,,45,1,Cutter,2,1,2,1,1,2,2,1,Standard,Standard,194.0,0.0,0.04,,,,-0.04,,1,1,0.71,0.71,35,25,36,26,3,2,5.0,1.0,,5.0,1.42,0.22,0.22,47.0
ST,2022-10-23,79.9,-2.09,5.72,"Darvish, Yu",592206,506433,field_out,hit_into_play,,,,,14.0,Nick Castellanos pops out to second baseman Jake Cronenworth.,L,R,R,PHI,SD,X,4.0,popup,2,1,2022,1.92,-0.45,0.43,1.54,,,,1,6,Bot,147.46,150.57,,,,,1.9186271344067152,-116.36066437082184,-1.5913470859215484,16.944544046084534,24.045243365119426,-36.12758244446149,3.69,1.79,125.0,78.1,61.0,80.0,2709.0,6.6,715727,543592,592273,630105,592518,673490,595777,663757,665742,53.93,0.026,0.023,0.0,1.0,0.0,0.0,3.0,44,4,Sweeper,2,1,2,1,1,2,2,1,Standard,Standard,46.0,-0.015,-0.286,,,0.029,0.286,88.0,1,1,0.725,0.725,35,30,36,30,3,2,5.0,1.0,,5.0,4.04,-1.92,-1.92,42.3
ST,2022-10-23,79.4,-1.85,5.73,"Darvish, Yu",592206,506433,,ball,,,,,14.0,Nick Castellanos pops out to second baseman Jake Cronenworth.,L,R,R,PHI,SD,B,,,1,1,2022,1.28,-0.79,0.0,0.3,,,,1,6,Bot,,,,,,,1.6698201383816704,-115.58524507405144,-3.6316246453631535,11.104984782706476,23.381394458345753,-38.66546181166633,3.6,1.88,,,,79.7,2714.0,6.7,715727,543592,592273,630105,592518,673490,595777,663757,665742,53.8,,,,,,,,44,3,Sweeper,2,1,2,1,1,2,2,1,Standard,Standard,45.0,0.0,0.052,,,,-0.052,,1,1,0.725,0.725,35,30,36,30,3,2,5.0,1.0,,5.0,4.42,-1.28,-1.28,42.3
