pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-04-28,89.4,-1.63,5.71,"deGrom, Jacob",641432,594798,single,hit_into_play,,,,,11.0,Willie Calhoun singles on a line drive to left fielder Travis Jankowski.   Anthony Rizzo to 2nd.,R,L,R,TEX,NYY,X,7.0,line_drive,1,2,2023,0.33,0.46,-1.09,2.46,,,519203.0,2,4,Top,61.81,93.3,,,,,0.634242834679112,-130.32443024980537,-3.0579023166134967,3.699813856790408,24.968872453050636,-26.4905882978232,3.13,1.52,269.0,99.9,12.0,90.2,2392.0,6.5,718388,641680,663993,543760,673962,677649,608671,665750,666969,54.04,0.957,0.925,0.9,1.0,1.0,0.0,4.0,31,5,Slider,5,0,0,5,0,5,0,5,Infield shade,Standard,175.0,-0.011,0.448,,,1.151,-0.448,99.9,5,-5,0.942,0.058,35,28,35,29,2,1,5.0,2.0,,1.0,2.36,-0.33,0.33,36.0
FF,2023-04-28,96.6,-1.44,5.54,"deGrom, Jacob",641432,594798,,ball,,,,,11.0,Willie Calhoun singles on a line drive to left fielder Travis Jankowski.   Anthony Rizzo to 2nd.,R,L,R,TEX,NYY,B,,,0,2,2023,-0.93,1.58,-1.26,2.31,,,519203.0,2,4,Top,,,,,,,2.646925738574975,-140.5274892343883,-6.70713276075648,-12.923053347149953,33.36316346856165,-9.92604693557109,3.13,1.46,,,,97.7,2530.0,7.0,718388,641680,663993,543760,673962,677649,608671,665750,666969,53.47,,,,,,,,31,4,4-Seam Fastball,5,0,0,5,0,5,0,5,Infield shade,Standard,217.0,0.0,0.02,,,,-0.02,,5,-5,0.942,0.058,35,28,35,29,2,1,5.0,2.0,,1.0,0.87,0.93,-0.93,33.9
SL,2023-04-28,92.4,-1.42,5.69,"deGrom, Jacob",641432,594798,,foul,,,,,6.0,Willie Calhoun singles on a line drive to left fielder Travis Jankowski.   Anthony Rizzo to 2nd.,R,L,R,TEX,NYY,S,,,0,2,2023,0.41,0.51,0.6,2.17,,,519203.0,2,4,Top,,,,,,,4.27228145344539,-134.5007815940017,-4.321320791321215,4.085461894424794,28.142203350508016,-25.31533341478271,3.13,1.52,3.0,75.3,-39.0,93.5,2538.0,6.8,718388,641680,663993,543760,673962,677649,608671,665750,666969,53.68,,,,,,,,31,3,Slider,5,0,0,5,0,5,0,5,Infield shade,Standard,167.0,0.0,0.0,,,,0.0,88.0,5,-5,0.942,0.058,35,28,35,29,2,1,5.0,2.0,,1.0,2.15,-0.41,0.41,37.5
CH,2023-04-28,91.2,-1.36,5.52,"deGrom, Jacob",641432,594798,,called_strike,,,,,5.0,Willie Calhoun singles on a line drive to left fielder Travis Jankowski.   Anthony Rizzo to 2nd.,R,L,R,TEX,NYY,S,,,0,1,2023,-1.1,0.65,0.17,2.08,,,519203.0,2,4,Top,,,,,,,6.354011578851646,-132.59758173406703,-4.1916596084855,-14.31401726479504,28.754789639703013,-23.822426391723084,3.13,1.44,,,,93.0,1637.0,7.4,718388,641680,663993,543760,673962,677649,608671,665750,666969,53.08,,,,,,,,31,2,Changeup,5,0,0,5,0,5,0,5,Infield shade,Standard,233.0,0.0,-0.055,,,,0.055,,5,-5,0.942,0.058,35,28,35,29,2,1,5.0,2.0,,1.0,2.1,1.1,-1.1,35.8
SL,2023-04-28,91.3,-1.61,5.66,"deGrom, Jacob",641432,594798,,called_strike,,,,,8.0,Willie Calhoun singles on a line drive to left fielder Travis Jankowski.   Anthony Rizzo to 2nd.,R,L,R,TEX,NYY,S,,,0,0,2023,0.24,0.55,-0.02,1.83,,,519203.0,2,4,Top,,,,,,,3.497304991015598,-132.83876302512124,-4.951538076566337,2.118454998541879,28.61558613405836,-24.814773903751338,3.13,1.49,,,,91.6,2354.0,6.5,718388,641680,663993,543760,673962,677649,608671,665750,666969,54.03,,,,,,,,31,1,Slider,5,0,0,5,0,5,0,5,Infield shade,Standard,198.0,0.0,-0.045,,,,0.045,,5,-5,0.942,0.058,35,28,35,29,2,1,5.0,2.0,,1.0,2.19,-0.24,0.24,36.6
FF,2023-04-28,99.9,-1.44,5.61,"deGrom, Jacob",650402,594798,field_out,hit_into_play,,,,,1.0,Gleyber Torres flies out to right fielder Adolis Garcia.,R,R,R,TEX,NYY,X,9.0,fly_ball,3,2,2023,-0.54,1.46,-0.6,2.86,,,519203.0,1,4,Top,165.62,125.55,,,,,3.611099805340212,-145.30536734655118,-5.625885624012293,-8.55728834010085,36.54949587456148,-10.369982000478748,3.11,1.42,210.0,97.4,59.0,100.3,2549.0,6.7,718388,641680,663993,543760,673962,677649,608671,665750,666969,53.79,0.037,0.045,0.0,1.0,0.0,0.0,3.0,30,6,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,214.0,0.015,-0.316,,,0.056,0.316,97.4,5,-5,0.927,0.073,35,26,35,27,2,1,5.0,1.0,,1.0,0.84,0.54,0.54,38.8
SL,2023-04-28,92.7,-1.4,5.69,"deGrom, Jacob",650402,594798,,ball,,,,,14.0,Gleyber Torres flies out to right fielder Adolis Garcia.,R,R,R,TEX,NYY,B,,,2,2,2023,0.35,0.49,1.09,2.02,,,519203.0,1,4,Top,,,,,,,5.638601282893087,-134.96621979601684,-4.700829671226422,3.060425780097301,28.273468923841236,-25.381764826895687,3.11,1.46,,,,93.4,2596.0,6.6,718388,641680,663993,543760,673962,677649,608671,665750,666969,53.91,,,,,,,,30,5,Slider,5,0,0,5,0,5,0,5,Standard,Standard,178.0,0.0,0.084,,,,-0.084,,5,-5,0.927,0.073,35,26,35,27,2,1,5.0,1.0,,1.0,2.15,-0.35,-0.35,39.8
SL,2023-04-28,92.5,-1.4,5.69,"deGrom, Jacob",650402,594798,,ball,,,,,14.0,Gleyber Torres flies out to right fielder Adolis Garcia.,R,R,R,TEX,NYY,B,,,1,2,2023,0.35,0.49,1.61,2.14,,,519203.0,1,4,Top,,,,,,,6.974712415768173,-134.5928600294284,-4.369192157879177,2.8265175904062447,27.559518613759835,-25.494047933493743,3.31,1.59,,,,93.7,2600.0,6.8,718388,641680,663993,543760,673962,677649,608671,665750,666969,53.65,,,,,,,,30,4,Slider,5,0,0,5,0,5,0,5,Standard,Standard,166.0,0.0,0.047,,,,-0.047,,5,-5,0.927,0.073,35,26,35,27,2,1,5.0,1.0,,1.0,2.16,-0.35,-0.35,37.4
FF,2023-04-28,100.3,-1.32,5.64,"deGrom, Jacob",650402,594798,,ball,,,,,12.0,Gleyber Torres flies out to right fielder Adolis Garcia.,R,R,R,TEX,NYY,B,,,0,2,2023,-0.68,1.38,1.04,2.91,,,519203.0,1,4,Top,,,,,,,8.238307358609138,-145.79539856039145,-5.4952096948176035,-11.6596847651502,36.27768476860785,-11.323922685160968,3.11,1.46,,,,101.3,2550.0,7.0,718388,641680,663993,543760,673962,677649,608671,665750,666969,53.45,,,,,,,,30,3,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,216.0,0.0,0.023,,,,-0.023,,5,-5,0.927,0.073,35,26,35,27,2,1,5.0,1.0,,1.0,0.9,0.68,0.68,37.0
SL,2023-04-28,91.5,-1.48,5.68,"deGrom, Jacob",650402,594798,,called_strike,,,,,9.0,Gleyber Torres flies out to right fielder Adolis Garcia.,R,R,R,TEX,NYY,S,,,0,1,2023,0.34,0.42,0.79,2.03,,,519203.0,1,4,Top,,,,,,,5.018066883666437,-133.24786483528317,-4.299965521797404,2.995600978515304,27.66384708111418,-26.44706323246516,3.17,1.62,,,,92.3,2610.0,6.7,718388,641680,663993,543760,673962,677649,608671,665750,666969,53.84,,,,,,,,30,2,Slider,5,0,0,5,0,5,0,5,Standard,Standard,166.0,0.0,-0.053,,,,0.053,,5,-5,0.927,0.073,35,26,35,27,2,1,5.0,1.0,,1.0,2.29,-0.34,-0.34,38.6
