pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2022-10-12,92.5,1.56,6.03,"Kershaw, Clayton",592518,477132,field_out,hit_into_play,,,,,9.0,Manny Machado grounds out sharply to first baseman Freddie Freeman.,D,R,L,LAD,SD,X,3.0,ground_ball,0,0,2022,0.26,1.4,0.39,2.11,,,,2,5,Top,139.97,177.31,,,,,-3.559598372989406,-134.54044382405226,-7.268261936109876,3.8856781245242513,27.37620620419721,-13.774660417368722,3.66,1.67,72.0,108.8,1.0,92.8,2347.0,6.4,715747,669257,518692,666158,571970,607208,572204,641355,605141,54.14,0.514,0.463,0.0,1.0,0.0,0.0,4.0,39,1,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shift,Standard,172.0,0.014,-0.256,,,0.539,0.256,108.8,0,0,0.551,0.449,34,29,34,30,3,2,7.0,1.0,,2.0,1.25,0.26,-0.26,53.3
FF,2022-10-12,92.5,1.35,6.04,"Kershaw, Clayton",665742,477132,field_out,hit_into_play,,,,,2.0,Juan Soto lines out sharply to second baseman Gavin Lux.,D,L,L,LAD,SD,X,4.0,line_drive,3,2,2022,0.23,1.48,0.19,2.84,,,,1,5,Top,168.11,139.14,,,,,-3.4793567296489964,-134.67813278162046,-5.6343096302059354,3.519456309386817,27.676579804647677,-13.062218503267122,3.06,1.47,185.0,100.1,12.0,92.9,2348.0,6.4,715747,669257,518692,666158,571970,607208,572204,641355,605141,54.11,0.917,0.904,0.0,1.0,0.0,0.0,4.0,38,6,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shift,Standard,171.0,0.021,-0.328,,,1.139,0.328,100.1,0,0,0.53,0.47,34,23,34,24,3,2,7.0,1.0,,2.0,1.16,0.23,0.23,58.9
SL,2022-10-12,88.0,1.48,6.06,"Kershaw, Clayton",665742,477132,,foul,,,,,8.0,Juan Soto lines out sharply to second baseman Gavin Lux.,D,L,L,LAD,SD,S,,,3,1,2022,-0.47,0.68,-0.2,1.84,,,,1,5,Top,,,,,,,-3.1115923570369652,-128.15399098544668,-5.631580191883697,-4.66575715243826,23.311164407887983,-23.764922177769,3.06,1.47,,,,88.7,2574.0,6.4,715747,669257,518692,666158,571970,607208,572204,641355,605141,54.11,,,,,,,,38,5,Slider,3,3,3,3,3,3,3,3,Infield shift,Standard,209.0,0.0,-0.078,,,,0.078,,0,0,0.53,0.47,34,23,34,24,3,2,7.0,1.0,,2.0,2.23,-0.47,-0.47,54.7
FF,2022-10-12,91.6,1.49,6.01,"Kershaw, Clayton",665742,477132,,called_strike,,,,,8.0,Juan Soto lines out sharply to second baseman Gavin Lux.,D,L,L,LAD,SD,S,,,3,0,2022,-0.08,1.58,-0.05,1.76,,,,1,5,Top,,,,,,,-3.7503616688289614,-133.22893131972805,-8.340993124334414,-0.1534798158401575,27.756662321894694,-11.707270436493468,3.1,1.47,,,,92.2,2367.0,6.6,715747,669257,518692,666158,571970,607208,572204,641355,605141,53.87,,,,,,,,38,4,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shift,Standard,171.0,0.0,-0.082,,,,0.082,,0,0,0.53,0.47,34,23,34,24,3,2,7.0,1.0,,2.0,1.13,-0.08,-0.08,55.8
FF,2022-10-12,92.0,1.46,6.06,"Kershaw, Clayton",665742,477132,,ball,,,,,13.0,Juan Soto lines out sharply to second baseman Gavin Lux.,D,L,L,LAD,SD,B,,,2,0,2022,-0.06,1.67,-0.69,1.33,,,,1,5,Top,,,,,,,-5.33756478169351,-133.62075789042433,-9.772654603545565,0.4231439920251058,28.16570691694555,-10.264554819013744,3.12,1.47,,,,92.2,2436.0,6.5,715747,669257,518692,666158,571970,607208,572204,641355,605141,54.04,,,,,,,,38,3,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shift,Standard,174.0,0.0,0.135,,,,-0.135,,0,0,0.53,0.47,34,23,34,24,3,2,7.0,1.0,,2.0,1.03,-0.06,-0.06,56.9
SL,2022-10-12,85.8,1.51,6.04,"Kershaw, Clayton",665742,477132,,ball,,,,,13.0,Juan Soto lines out sharply to second baseman Gavin Lux.,D,L,L,LAD,SD,B,,,1,0,2022,-0.58,0.34,-1.44,0.97,,,,1,5,Top,,,,,,,-5.82587643972426,-124.7250850478442,-6.396877218470953,-4.81150654977867,25.717117311425827,-27.513723052099344,3.02,1.47,,,,85.8,2663.0,6.4,715747,669257,518692,666158,571970,607208,572204,641355,605141,54.11,,,,,,,,38,2,Slider,3,3,3,3,3,3,3,3,Infield shift,Standard,230.0,0.0,0.07,,,,-0.07,,0,0,0.53,0.47,34,23,34,24,3,2,7.0,1.0,,2.0,2.77,-0.58,-0.58,57.1
SL,2022-10-12,85.5,1.53,6.09,"Kershaw, Clayton",665742,477132,,ball,,,,,13.0,Juan Soto lines out sharply to second baseman Gavin Lux.,D,L,L,LAD,SD,B,,,0,0,2022,-0.66,0.48,-1.3,1.68,,,,1,5,Top,,,,,,,-5.34745526483865,-124.47321990212652,-5.1184385158563845,-5.900477202487943,23.864341113558293,-26.40562262472285,2.98,1.47,,,,85.9,2651.0,6.4,715747,669257,518692,666158,571970,607208,572204,641355,605141,54.08,,,,,,,,38,1,Slider,3,3,3,3,3,3,3,3,Infield shift,Standard,243.0,0.0,0.036,,,,-0.036,,0,0,0.53,0.47,34,23,34,24,3,2,7.0,1.0,,2.0,2.63,-0.66,-0.66,56.5
CU,2022-10-12,73.3,0.98,6.26,"Kershaw, Clayton",673490,477132,field_out,hit_into_play,,,,,14.0,"Ha-Seong Kim grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",D,R,L,LAD,SD,X,5.0,ground_ball,1,2,2022,-0.5,-1.37,0.2,0.44,,,,0,5,Top,99.81,163.54,,,,,-0.7044721072627227,-106.74644715071231,-2.0051048169886014,-3.6275957861280967,20.36926392313897,-42.405707600993445,3.4,1.52,58.0,93.7,3.0,73.0,2210.0,6.2,715747,669257,518692,666158,571970,607208,572204,641355,605141,54.27,0.411,0.387,0.0,1.0,0.0,0.0,4.0,37,4,Curveball,3,3,3,3,3,3,3,3,Standard,Standard,339.0,0.03,-0.176,,,0.479,0.176,93.7,0,0,0.5,0.5,34,26,34,27,3,2,7.0,1.0,,2.0,5.64,-0.5,0.5,66.6
FF,2022-10-12,90.7,1.46,6.15,"Kershaw, Clayton",673490,477132,,called_strike,,,,,12.0,"Ha-Seong Kim grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",D,R,L,LAD,SD,S,,,1,1,2022,0.09,1.68,0.88,2.62,,,,0,5,Top,,,,,,,-1.659134741765117,-131.99253437501108,-6.520437528409959,1.4405756712282514,27.40226099233091,-11.391859235691202,3.54,1.68,,,,91.1,2355.0,6.5,715747,669257,518692,666158,571970,607208,572204,641355,605141,54.02,,,,,,,,37,3,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,166.0,0.0,-0.06,,,,0.06,,0,0,0.5,0.5,34,26,34,27,3,2,7.0,1.0,,2.0,1.09,0.09,-0.09,54.8
SL,2022-10-12,84.3,1.53,6.22,"Kershaw, Clayton",673490,477132,,ball,,,,,13.0,"Ha-Seong Kim grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",D,R,L,LAD,SD,B,,,0,1,2022,-0.78,0.13,-0.5,1.36,,,,0,5,Top,,,,,,,-3.173585396523801,-122.73613447468892,-5.1944419767155505,-7.261521216725483,23.340723980160902,-30.094412459703843,3.28,1.52,,,,84.2,2626.0,6.1,715747,669257,518692,666158,571970,607208,572204,641355,605141,54.4,,,,,,,,37,2,Slider,3,3,3,3,3,3,3,3,Standard,Standard,224.0,0.0,0.028,,,,-0.028,,0,0,0.5,0.5,34,26,34,27,3,2,7.0,1.0,,2.0,3.07,-0.78,0.78,56.5
