pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FS,2024-10-26,90.6,-1.36,5.5,"Yamamoto, Yoshinobu",519317,808967,field_out,hit_into_play,,,,,4.0,Giancarlo Stanton pops out to second baseman Enrique Hernández.,W,R,R,LAD,NYY,X,4.0,popup,1,2,2024,-0.43,0.2,-0.44,2.68,,,,0,7,Top,157.44,139.03,,,,,3.2205065043042973,-131.97409207185055,-1.587467981680697,-5.7259235099526276,26.05701996844863,-29.735234542264436,3.77,1.79,173.0,59.7,38.0,91.0,1268.0,6.3,775294,669257,518692,571771,571970,500743,606192,669242,605141,54.19,0.389,0.35,0.0,1.0,0.0,0.0,3.0,48,6,Split-Finger,4,1,1,4,1,4,1,4,Strategic,Standard,234.0,0.022,-0.186,81.8,7.6,0.389,0.186,88.0,3,-3,0.902,0.098,25,34,26,35,3,2,9.0,1.0,,2.0,2.56,0.43,0.43,46.5
FF,2024-10-26,95.8,-1.47,5.36,"Yamamoto, Yoshinobu",519317,808967,,foul,,,,,7.0,Giancarlo Stanton pops out to second baseman Enrique Hernández.,W,R,R,LAD,NYY,S,,,1,2,2024,-0.47,1.19,-0.56,2.34,,,,0,7,Top,,,,,,,3.4682698435741046,-139.44106676755268,-5.085648689759398,-6.885451020120231,30.347573987262745,-15.640932631743208,3.77,1.79,195.0,69.9,49.0,96.1,2009.0,6.4,775294,669257,518692,571771,571970,500743,606192,669242,605141,54.15,,,,,,,,48,5,4-Seam Fastball,4,1,1,4,1,4,1,4,Strategic,Standard,218.0,0.0,0.0,80.4,8.2,,0.0,88.0,3,-3,0.902,0.098,25,34,26,35,3,2,9.0,1.0,,2.0,1.28,0.47,0.47,44.0
FF,2024-10-26,95.4,-1.48,5.41,"Yamamoto, Yoshinobu",519317,808967,,foul,,,,,1.0,Giancarlo Stanton pops out to second baseman Enrique Hernández.,W,R,R,LAD,NYY,S,,,1,2,2024,-0.32,1.28,-0.34,3.2,,,,0,7,Top,,,,,,,3.747910951329758,-138.96204587474875,-3.0793214192337612,-5.029215005536972,30.306594673936218,-15.032152765171926,3.77,1.79,144.0,70.8,67.0,95.8,2225.0,6.4,775294,669257,518692,571771,571970,500743,606192,669242,605141,54.08,,,,,,,,48,4,4-Seam Fastball,4,1,1,4,1,4,1,4,Strategic,Standard,211.0,0.0,0.0,78.4,7.7,,0.0,88.0,3,-3,0.902,0.098,25,34,26,35,3,2,9.0,1.0,,2.0,1.21,0.32,0.32,42.5
SL,2024-10-26,83.8,-1.55,5.27,"Yamamoto, Yoshinobu",519317,808967,,foul,,,,,4.0,Giancarlo Stanton pops out to second baseman Enrique Hernández.,W,R,R,LAD,NYY,S,,,1,1,2024,0.52,-0.52,-0.46,2.7,,,,0,7,Top,,,,,,,1.473064123926998,-121.9997586782721,1.4861798002586533,4.916211454090667,23.660757849048466,-37.884861792985355,3.77,1.79,40.0,117.5,-2.0,83.8,2701.0,6.2,775294,669257,518692,571771,571970,500743,606192,669242,605141,54.3,,,,,,,,48,3,Slider,4,1,1,4,1,4,1,4,Strategic,Standard,67.0,0.0,-0.056,83.8,9.1,,0.056,117.5,3,-3,0.902,0.098,25,34,26,35,3,2,9.0,1.0,,2.0,3.76,-0.52,-0.52,42.1
FC,2024-10-26,89.3,-1.43,5.44,"Yamamoto, Yoshinobu",519317,808967,,swinging_strike,,,,,9.0,Giancarlo Stanton pops out to second baseman Enrique Hernández.,W,R,R,LAD,NYY,S,,,1,0,2024,0.44,0.57,0.62,2.39,,,,0,7,Top,,,,,,,4.141949988479569,-130.0551596483878,-2.7681034994841314,4.236519946267777,24.868521772209547,-25.322166961181217,3.77,1.79,,,,89.9,2396.0,6.4,775294,669257,518692,571771,571970,500743,606192,669242,605141,54.07,,,,,,,,48,2,Cutter,4,1,1,4,1,4,1,4,Strategic,Standard,180.0,0.0,-0.049,84.9,9.5,,0.049,,3,-3,0.902,0.098,25,34,26,35,3,2,9.0,1.0,,2.0,2.26,-0.44,-0.44,43.5
FC,2024-10-26,90.0,-1.57,5.34,"Yamamoto, Yoshinobu",519317,808967,,ball,,,,,14.0,Giancarlo Stanton pops out to second baseman Enrique Hernández.,W,R,R,LAD,NYY,B,,,0,0,2024,0.32,0.39,1.17,0.22,,,,0,7,Top,,,,,,,6.162873801907378,-130.80525462306545,-7.60166446928998,2.3262183225709863,27.463929194660594,-26.298248848578098,3.8,1.91,,,,90.5,2414.0,6.6,775294,669257,518692,571771,571970,500743,606192,669242,605141,53.87,,,,,,,,48,1,Cutter,4,1,1,4,1,4,1,4,Infield shade,Standard,174.0,0.0,0.038,,,,-0.038,,3,-3,0.902,0.098,25,34,26,35,3,2,9.0,1.0,,2.0,2.43,-0.32,-0.32,41.1
FS,2024-10-26,91.5,-1.6,5.31,"Yamamoto, Yoshinobu",592450,808967,strikeout,swinging_strike,,,,,13.0,Aaron Judge strikes out swinging.,W,R,R,LAD,NYY,S,2.0,,2,2,2024,-0.84,0.14,-1.26,2.51,,,,2,6,Top,,,,,,,2.6957269359269884,-133.22889372056488,-1.5117430114204713,-10.63919846908411,28.88967577525988,-30.348218193686986,4.02,1.83,,,,92.1,1502.0,6.6,775294,669257,518692,571771,571970,500743,606192,669242,605141,53.88,,0.0,0.0,1.0,0.0,0.0,,44,5,Split-Finger,4,1,1,4,1,4,1,4,Strategic,Standard,233.0,0.009,-0.219,75.2,7.9,,0.219,,3,-3,0.909,0.091,25,32,26,32,3,2,9.0,1.0,,2.0,2.58,0.84,0.84,41.8
CU,2024-10-26,76.2,-1.25,5.44,"Yamamoto, Yoshinobu",592450,808967,,foul,,,,,8.0,Aaron Judge strikes out swinging.,W,R,R,LAD,NYY,S,,,2,1,2024,0.86,-1.57,-0.09,1.77,,,,2,6,Top,,,,,,,0.8816990169134453,-110.7850127466183,2.2843796344542096,6.798171878824436,22.347049347421105,-45.702850684767625,4.02,1.83,3.0,93.5,-37.0,76.0,2621.0,6.5,775294,669257,518692,571771,571970,500743,606192,669242,605141,54.01,,,,,,,,44,4,Curveball,4,1,1,4,1,4,1,4,Infield shade,Standard,28.0,0.0,-0.084,73.0,8.8,,0.084,93.5,3,-3,0.909,0.091,25,32,26,32,3,2,9.0,1.0,,2.0,5.55,-0.86,-0.86,51.6
FF,2024-10-26,94.1,-1.72,5.28,"Yamamoto, Yoshinobu",592450,808967,,called_strike,,,,,8.0,Aaron Judge strikes out swinging.,W,R,R,LAD,NYY,S,,,2,0,2024,-0.28,1.14,0.05,2.29,,,,2,6,Top,,,,,,,5.230725886167796,-137.01393835357246,-4.636435205986228,-4.680408231796026,28.36436961918586,-16.95780242897959,4.15,1.94,,,,94.5,2115.0,6.3,775294,669257,518692,571771,571970,500743,606192,669242,605141,54.17,,,,,,,,44,3,4-Seam Fastball,4,1,1,4,1,4,1,4,Strategic,Standard,211.0,0.0,-0.061,,,,0.061,,3,-3,0.909,0.091,25,32,26,32,3,2,9.0,1.0,,2.0,1.42,0.28,0.28,40.2
FC,2024-10-26,88.5,-1.53,5.4,"Yamamoto, Yoshinobu",592450,808967,,ball,,,,,14.0,Aaron Judge strikes out swinging.,W,R,R,LAD,NYY,B,,,1,0,2024,0.67,0.48,1.4,2.67,,,,2,6,Top,,,,,,,5.768092076362769,-128.73000718868656,-1.5695989617570043,6.138485222635411,27.63968464185048,-26.76330904280604,4.06,1.91,,,,88.5,2319.0,6.4,775294,669257,518692,571771,571970,500743,606192,669242,605141,54.14,,,,,,,,44,2,Cutter,4,1,1,4,1,4,1,4,Infield shade,Standard,150.0,0.0,0.068,,,,-0.068,,3,-3,0.909,0.091,25,32,26,32,3,2,9.0,1.0,,2.0,2.44,-0.67,-0.67,43.6
