pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2022-10-07,94.4,-2.98,5.62,"Scherzer, Max",592518,453286,home_run,hit_into_play,,,,,4,Manny Machado homers (1) on a line drive to left center field.,F,R,R,NYM,SD,X,,line_drive,0,0,2022,-0.93,1.44,-0.78,2.44,,,,2,5,Top,47.72,66.12,,,,,7.716288631107348,-137.09980711036482,-5.678249627193614,-13.477955083571226,32.59282331101211,-13.002270297190044,3.63,1.63,381.0,110.5,18.0,93.4,2277.0,6.0,715761,621512,624413,643446,500871,596019,592192,607043,516782,54.54,0.769,1.064,2.0,1.0,0.0,3.0,6.0,36,1,4-Seam Fastball,0,6,6,0,7,0,7,0,Standard,Standard,222.0,-0.017,2.595,,,1.758,-2.595,110.5,-6,6,0.038,0.962,37,29,38,30,3,2,6.0,2.0,,1.0,1.15,0.93,0.93,31.7
FF,2022-10-07,92.5,-3.02,5.42,"Scherzer, Max",665742,453286,field_out,hit_into_play,,,,,4,"Juan Soto grounds out, second baseman Jeff McNeil to first baseman Pete Alonso.",F,L,R,NYM,SD,X,4.0,ground_ball,3,1,2022,-0.74,1.28,-0.29,2.56,,,,1,5,Top,155.06,149.05,,,,,8.57344342525977,-134.24654444832186,-4.1501253064683805,-11.091303041783238,35.04600742702521,-16.107967920438465,3.09,1.48,20.0,107.6,-6.0,91.6,2221.0,6.3,715761,621512,624413,643446,500871,596019,592192,607043,516782,54.16,0.429,0.409,0.0,1.0,0.0,0.0,2.0,35,5,4-Seam Fastball,0,6,6,0,6,0,6,0,Infield shift,Standard,229.0,0.002,-0.405,,,0.49,0.405,107.6,-6,6,0.036,0.964,37,23,38,24,3,2,6.0,2.0,,1.0,1.45,0.74,-0.74,28.8
CH,2022-10-07,84.3,-3.05,5.34,"Scherzer, Max",665742,453286,,ball,,,,,14,"Juan Soto grounds out, second baseman Jeff McNeil to first baseman Pete Alonso.",F,L,R,NYM,SD,B,,,2,1,2022,-1.5,0.43,0.93,0.56,,,,1,5,Top,,,,,,,12.258029738398305,-122.10044395649454,-5.609120110530035,-17.326849487038398,21.528842269947475,-26.91876212555645,3.09,1.35,,,,84.7,1279.0,6.6,715761,621512,624413,643446,500871,596019,592192,607043,516782,53.93,,,,,,,,35,4,Changeup,0,6,6,0,6,0,6,0,Infield shift,Standard,240.0,0.0,0.119,,,,-0.119,,-6,6,0.036,0.964,37,23,38,24,3,2,6.0,2.0,,1.0,2.78,1.5,-1.5,27.8
CU,2022-10-07,73.2,-2.99,5.62,"Scherzer, Max",665742,453286,,ball,,,,,11,"Juan Soto grounds out, second baseman Jeff McNeil to first baseman Pete Alonso.",F,L,R,NYM,SD,B,,,1,1,2022,1.53,-1.0,-1.49,3.21,,,,1,5,Top,,,,,,,0.3932911736170688,-106.36522505702942,4.408197153232345,11.276526373716278,23.13984767946442,-40.81143575154908,3.07,1.48,,,,72.2,2618.0,6.2,715761,621512,624413,643446,500871,596019,592192,607043,516782,54.26,,,,,,,,35,3,Curveball,0,6,6,0,6,0,6,0,Infield shift,Standard,61.0,0.0,0.052,,,,-0.052,,-6,6,0.036,0.964,37,23,38,24,3,2,6.0,2.0,,1.0,5.36,-1.53,1.53,32.6
CH,2022-10-07,83.3,-3.08,5.47,"Scherzer, Max",665742,453286,,ball,,,,,14,"Juan Soto grounds out, second baseman Jeff McNeil to first baseman Pete Alonso.",F,L,R,NYM,SD,B,,,0,1,2022,-1.44,0.63,0.72,0.88,,,,1,5,Top,,,,,,,11.550907758940587,-120.66683635774892,-5.227840293870003,-16.406389642189467,24.91163332333377,-25.132187578652957,3.19,1.48,,,,83.0,1312.0,6.5,715761,621512,624413,643446,500871,596019,592192,607043,516782,54.0,,,,,,,,35,2,Changeup,0,6,6,0,6,0,6,0,Infield shift,Standard,245.0,0.0,0.025,,,,-0.025,,-6,6,0.036,0.964,37,23,38,24,3,2,6.0,2.0,,1.0,2.7,1.44,-1.44,28.8
FF,2022-10-07,92.6,-2.92,5.66,"Scherzer, Max",665742,453286,,called_strike,,,,,5,"Juan Soto grounds out, second baseman Jeff McNeil to first baseman Pete Alonso.",F,L,R,NYM,SD,S,,,0,0,2022,-0.64,1.64,-0.17,2.56,,,,1,5,Top,,,,,,,8.371697040913787,-134.32513782280697,-5.52030290361999,-9.780749726461435,35.28686848534437,-11.341163786063126,3.12,1.48,,,,91.2,2242.0,6.1,715761,621512,624413,643446,500871,596019,592192,607043,516782,54.37,,,,,,,,35,1,4-Seam Fastball,0,6,6,0,6,0,6,0,Infield shift,Standard,224.0,0.0,-0.038,,,,0.038,,-6,6,0.036,0.964,37,23,38,24,3,2,6.0,2.0,,1.0,1.08,0.64,-0.64,32.3
FC,2022-10-07,89.1,-3.15,5.35,"Scherzer, Max",595777,453286,home_run,hit_into_play,,,,,6,Jurickson Profar homers (1) on a fly ball to right field.    Ha-Seong Kim scores.    Austin Nola scores.,F,L,R,NYM,SD,X,,fly_ball,0,0,2022,0.05,0.77,0.56,2.43,673490.0,543592.0,,1,5,Top,228.2,102.17,,,,,8.957702902291588,-129.3786156872968,-2.683381907120945,-1.385145486854205,28.411042912587877,-23.167956336030013,3.35,1.58,346.0,95.2,28.0,88.5,2413.0,6.2,715761,621512,624413,643446,500871,596019,592192,607043,516782,54.35,0.177,0.26,2.0,1.0,0.0,3.0,5.0,34,1,Cutter,0,3,3,0,6,0,6,0,Strategic,Standard,216.0,-0.073,1.037,,,0.461,-1.037,95.2,-3,3,0.109,0.891,37,29,38,29,3,2,6.0,2.0,,1.0,2.13,-0.05,0.05,27.0
FF,2022-10-07,93.0,-3.11,5.39,"Scherzer, Max",543592,453286,double,hit_into_play,,,,,5,Austin Nola hits a ground-rule double (1) on a fly ball down the right-field line.   Ha-Seong Kim to 3rd.,F,R,R,NYM,SD,X,,fly_ball,0,0,2022,-1.11,1.41,0.16,2.55,,,673490.0,1,5,Top,218.75,111.2,,,,,10.77939938686711,-134.8372651519102,-4.471529608059885,-16.114441295769375,33.852871567668195,-14.224415506049766,3.42,1.55,314.0,95.3,25.0,92.0,2446.0,6.2,715761,621512,624413,643446,500871,596019,592192,607043,516782,54.27,0.197,0.259,1.25,1.0,1.0,1.0,5.0,33,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,226.0,-0.044,0.768,,,0.427,-0.768,95.3,-3,3,0.153,0.847,37,32,38,33,2,1,6.0,3.0,,1.0,1.28,1.11,1.11,27.7
CH,2022-10-07,81.7,-3.11,5.38,"Scherzer, Max",663757,453286,field_out,hit_into_play,,,,,7,Trent Grisham pops out to second baseman Jeff McNeil.,F,L,R,NYM,SD,X,4.0,popup,2,1,2022,-1.08,-0.05,-0.41,2.14,,,673490.0,0,5,Top,151.01,163.24,,,,,8.183080598419401,-118.6952327989492,-0.5829880521021336,-11.76857533028001,23.5599827045396,-32.751532186450014,3.51,1.71,118.0,90.3,68.0,81.8,1152.0,6.5,715761,621512,624413,643446,500871,596019,592192,607043,516782,54.0,0.014,0.018,0.0,1.0,0.0,0.0,3.0,32,4,Changeup,0,3,3,0,3,0,3,0,Standard,Standard,250.0,0.017,-0.289,,,0.021,0.289,90.3,-3,3,0.136,0.864,37,25,38,26,2,1,6.0,2.0,,1.0,3.49,1.08,-1.08,29.4
FF,2022-10-07,93.3,-2.96,5.56,"Scherzer, Max",663757,453286,,ball,,,,,11,Trent Grisham pops out to second baseman Jeff McNeil.,F,L,R,NYM,SD,B,,,1,1,2022,-0.85,1.47,-1.54,3.4,,,673490.0,0,5,Top,,,,,,,5.5075230803783715,-135.68531573587643,-2.963738666950116,-11.738959053269706,32.90851633900194,-13.679867050144871,3.75,1.75,,,,92.7,2418.0,6.2,715761,621512,624413,643446,500871,596019,592192,607043,516782,54.31,,,,,,,,32,3,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,223.0,0.0,0.064,,,,-0.064,,-3,3,0.136,0.864,37,25,38,26,2,1,6.0,2.0,,1.0,1.18,0.85,-0.85,30.8
