pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2023-09-30,94.4,-1.33,5.9,"Assad, Javier",663368,665871,strikeout,called_strike,,,,,6.0,Blake Perkins called out on strikes.,R,L,R,MIL,CHC,S,2.0,,2,2,2023,-1.1,0.97,0.39,2.23,,,605170.0,2,5,Bot,,,,,,,6.957412576048426,-137.2876593222473,-6.076755505909267,-15.409863345714756,29.546112821511716,-18.767319518754697,3.02,1.54,,,,95.2,1989.0,6.7,716373,543228,621550,666624,600869,621020,664023,641355,673548,53.8,,0.0,0.0,1.0,0.0,0.0,,56,5,Sinker,6,9,6,9,9,6,6,9,Standard,Standard,208.0,-0.024,-0.239,,,,0.239,,-3,-3,0.152,0.152,25,26,26,27,1,2,2.0,3.0,,1.0,1.59,1.1,-1.1,55.5
SI,2023-09-30,93.6,-1.28,5.98,"Assad, Javier",663368,665871,,ball,,,,,11.0,Blake Perkins called out on strikes.,R,L,R,MIL,CHC,B,,,1,2,2023,-1.18,0.96,-0.34,4.47,,,605170.0,2,5,Bot,,,,,,,5.057042705280075,-136.2872964098375,-0.2734121344575876,-15.854334663467146,30.240661513465064,-20.321288151941687,3.08,1.48,,,,94.0,1975.0,6.5,716373,543228,621550,666624,600869,621020,664023,641355,673548,53.97,,,,,,,,56,4,Sinker,6,9,6,9,9,6,6,9,Standard,Standard,207.0,0.0,0.034,,,,-0.034,,-3,-3,0.152,0.152,25,26,26,27,1,2,2.0,3.0,,1.0,1.64,1.18,-1.18,56.1
FF,2023-09-30,94.0,-1.57,5.88,"Assad, Javier",663368,665871,,ball,,,,,11.0,Blake Perkins called out on strikes.,R,L,R,MIL,CHC,B,,,0,2,2023,-0.27,1.29,-0.54,4.27,,,605170.0,2,5,Bot,,,,,,,3.2968134677221905,-136.90408566115266,-1.314636452499159,-4.162121029691114,30.630496334046995,-15.947400224039557,3.05,1.57,,,,94.5,2099.0,6.6,716373,543228,621550,666624,600869,621020,664023,641355,673548,53.92,,,,,,,,56,3,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,207.0,0.0,0.02,,,,-0.02,,-3,-3,0.152,0.152,25,26,26,27,1,2,2.0,3.0,,1.0,1.29,0.27,-0.27,50.0
SI,2023-09-30,92.6,-1.4,5.9,"Assad, Javier",663368,665871,,called_strike,,,,,6.0,Blake Perkins called out on strikes.,R,L,R,MIL,CHC,S,,,0,1,2023,-0.99,0.93,0.33,2.39,,,605170.0,2,5,Bot,,,,,,,6.600086471012767,-134.75771354294466,-5.261957551521533,-13.471872078623708,27.65363505951727,-19.842647226349104,3.24,1.65,,,,93.3,2014.0,6.6,716373,543228,621550,666624,600869,621020,664023,641355,673548,53.91,,,,,,,,56,2,Sinker,6,9,6,9,9,6,6,9,Standard,Standard,203.0,0.0,-0.055,,,,0.055,,-3,-3,0.152,0.152,25,26,26,27,1,2,2.0,3.0,,1.0,1.71,0.99,-0.99,56.4
FC,2023-09-30,88.7,-1.83,5.78,"Assad, Javier",663368,665871,,called_strike,,,,,8.0,Blake Perkins called out on strikes.,R,L,R,MIL,CHC,S,,,0,0,2023,0.12,0.5,-0.18,1.97,,,605170.0,2,5,Bot,,,,,,,3.8274233613536928,-129.24904766375826,-4.400531974754146,0.6318674249931182,25.040459415542937,-25.841471386733804,3.19,1.57,,,,89.9,2119.0,6.8,716373,543228,621550,666624,600869,621020,664023,641355,673548,53.71,,,,,,,,56,1,Cutter,6,9,6,9,9,6,6,9,Standard,Standard,182.0,0.0,-0.045,,,,0.045,,-3,-3,0.152,0.152,25,26,26,27,1,2,2.0,3.0,,1.0,2.37,-0.12,0.12,49.2
SI,2023-09-30,93.9,-1.46,5.95,"Assad, Javier",655316,665871,strikeout,swinging_strike,,,,,11.0,Andruw Monasterio strikes out swinging.,R,R,R,MIL,CHC,S,2.0,,2,2,2023,-1.1,0.92,-0.13,3.75,,,605170.0,1,5,Bot,,,,,,,5.914008416956789,-136.67953991098673,-2.017340002335029,-15.033043084562095,29.569179232217163,-20.425962709933135,3.19,1.42,,,,94.4,1989.0,6.5,716373,543228,621550,666624,600869,621020,664023,641355,673548,53.96,,0.0,0.0,1.0,0.0,0.0,,55,5,Sinker,6,9,6,9,9,6,6,9,Standard,Standard,208.0,-0.031,-0.23,61.5,5.4,,0.23,,-3,-3,0.183,0.183,25,26,26,26,1,2,2.0,3.0,,1.0,1.66,1.1,1.1,55.5
ST,2023-09-30,80.3,-1.52,5.84,"Assad, Javier",655316,665871,,ball,,,,,14.0,Andruw Monasterio strikes out swinging.,R,R,R,MIL,CHC,B,,,1,2,2023,1.25,0.12,1.84,1.11,,,605170.0,1,5,Bot,,,,,,,5.103137051464937,-116.81800417324187,-4.032933561361862,10.493543473598017,21.526418929229173,-30.50698689112063,2.99,1.39,,,,80.7,2364.0,6.5,716373,543228,621550,666624,600869,621020,664023,641355,673548,54.0,,,,,,,,55,4,Sweeper,6,9,6,9,9,6,6,9,Standard,Standard,52.0,0.0,0.047,,,,-0.047,,-3,-3,0.183,0.183,25,26,26,26,1,2,2.0,3.0,,1.0,3.41,-1.25,-1.25,52.8
SI,2023-09-30,92.7,-1.29,5.89,"Assad, Javier",655316,665871,,foul,,,,,7.0,Andruw Monasterio strikes out swinging.,R,R,R,MIL,CHC,S,,,1,1,2023,-1.18,0.8,-0.77,1.72,,,605170.0,1,5,Bot,,,,,,,3.95473341528964,-134.74695822755004,-6.613269284903141,-15.274883708458878,30.936489654211226,-21.144799087536192,3.19,1.42,2.0,80.6,-39.0,93.0,1927.0,6.7,716373,543228,621550,666624,600869,621020,664023,641355,673548,53.85,,,,,,,,55,3,Sinker,6,9,6,9,9,6,6,9,Standard,Standard,207.0,0.0,-0.055,67.1,6.6,,0.055,88.0,-3,-3,0.183,0.183,25,26,26,26,1,2,2.0,3.0,,1.0,1.87,1.18,1.18,56.7
SI,2023-09-30,94.1,-1.58,5.88,"Assad, Javier",655316,665871,,called_strike,,,,,6.0,Andruw Monasterio strikes out swinging.,R,R,R,MIL,CHC,S,,,1,0,2023,-0.86,0.91,0.42,2.2,,,605170.0,1,5,Bot,,,,,,,7.145333579627581,-136.76866259824502,-5.854577568081881,-12.429444761957798,30.13496325924836,-19.68835839913866,3.04,1.39,,,,94.6,1917.0,6.6,716373,543228,621550,666624,600869,621020,664023,641355,673548,53.88,,,,,,,,55,2,Sinker,6,9,6,9,9,6,6,9,Strategic,Standard,211.0,0.0,-0.053,,,,0.053,,-3,-3,0.183,0.183,25,26,26,26,1,2,2.0,3.0,,1.0,1.67,0.86,0.86,56.6
ST,2023-09-30,80.7,-1.69,5.84,"Assad, Javier",655316,665871,,blocked_ball,,,,,14.0,Andruw Monasterio strikes out swinging.,R,R,R,MIL,CHC,B,,,0,0,2023,1.3,0.35,1.36,0.61,,,605170.0,1,5,Bot,,,,,,,4.325687825433878,-117.30952614272464,-5.566861253609399,11.046701760731162,24.35515003236507,-28.071620413296852,3.04,1.41,,,,80.7,2270.0,6.6,716373,543228,621550,666624,600869,621020,664023,641355,673548,53.94,,,,,,,,55,1,Sweeper,6,9,6,9,9,6,6,9,Standard,Standard,56.0,0.0,0.036,,,,-0.036,,-3,-3,0.183,0.183,25,26,26,26,1,2,2.0,3.0,,1.0,3.19,-1.3,-1.3,51.5
