pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2022-10-22,89.1,-1.93,5.52,"Cole, Gerrit",493329,543037,single,hit_into_play,,,,,5,Yuli Gurriel singles on a fly ball to right fielder Aaron Judge.   Alex Bregman to 3rd.    Kyle Tucker to 2nd.,L,R,R,NYY,HOU,X,9.0,fly_ball,0,0,2022,0.38,-0.05,-0.02,2.22,,608324.0,663656.0,0,6,Top,201.03,132.69,,,,,3.919908059661562,-129.69899792852442,-1.964473366436168,3.457756583631653,27.519775794239617,-32.55582474209456,3.39,1.65,230.0,73.4,35.0,89.4,2588.0,6.5,715736,624431,519203,650402,518626,665828,519317,664056,592450,54.03,0.409,0.399,0.9,1.0,1.0,0.0,3.0,41,1,Slider,0,2,2,0,2,0,2,0,Standard,Standard,125.0,-0.047,0.489,,,0.479,-0.489,88.0,-2,2,0.152,0.848,31,38,32,38,3,2,6.0,2.0,,1.0,2.92,-0.38,-0.38,31.7
KC,2022-10-22,87.6,-1.77,5.58,"Cole, Gerrit",663656,543037,walk,blocked_ball,,,,,14,Kyle Tucker walks.,L,L,R,NYY,HOU,B,,,3,2,2022,0.74,-1.28,1.8,-0.72,,608324.0,,0,6,Top,,,,,,,7.120690134239961,-127.17515545924084,-6.347108035842719,6.345055189552302,29.39630219617098,-44.69383933816463,3.62,1.73,,,,87.4,2901.0,6.6,715736,624431,519203,650402,518626,665828,519317,664056,592450,53.95,,0.688744,0.7,1.0,0.0,0.0,,40,7,Knuckle Curve,0,2,2,0,2,0,2,0,Infield shift,Standard,39.0,-0.013,0.255,,,,-0.255,,-2,2,0.165,0.835,31,25,32,25,3,2,6.0,2.0,,1.0,4.3,-0.74,0.74,34.7
FF,2022-10-22,98.0,-1.72,5.61,"Cole, Gerrit",663656,543037,,foul,,,,,11,Kyle Tucker walks.,L,L,R,NYY,HOU,S,,,3,2,2022,-1.01,1.41,-0.37,3.82,,608324.0,,0,6,Top,,,,,,,6.018520906101543,-142.6397432351284,-2.60520787377677,-15.251662301165736,34.41330617590474,-12.513277911438546,3.69,1.74,,,,98.4,2416.0,6.6,715736,624431,519203,650402,518626,665828,519317,664056,592450,53.91,,,,,,,,40,6,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shift,Standard,228.0,0.0,0.0,,,,0.0,,-2,2,0.165,0.835,31,25,32,25,3,2,6.0,2.0,,1.0,0.97,1.01,-1.01,33.7
FF,2022-10-22,98.2,-1.96,5.59,"Cole, Gerrit",663656,543037,,ball,,,,,11,Kyle Tucker walks.,L,L,R,NYY,HOU,B,,,2,2,2022,-0.87,1.37,-0.87,4.01,,608324.0,,0,6,Top,,,,,,,5.0081376650634954,-142.8889995062708,-1.9441557113191987,-13.118543804179325,33.960041591355605,-13.25999544262543,3.64,1.75,,,,98.4,2400.0,6.5,715736,624431,519203,650402,518626,665828,519317,664056,592450,54.04,,,,,,,,40,5,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shift,Standard,219.0,0.0,0.079,,,,-0.079,,-2,2,0.165,0.835,31,25,32,25,3,2,6.0,2.0,,1.0,1.0,0.87,-0.87,35.9
SL,2022-10-22,89.3,-1.99,5.33,"Cole, Gerrit",663656,543037,,ball,,,,,14,Kyle Tucker walks.,L,L,R,NYY,HOU,B,,,1,2,2022,0.37,0.08,0.03,1.34,,608324.0,,0,6,Top,,,,,,,4.196055389971227,-130.09566474528927,-4.039855961282413,3.433209151246184,25.51137407233626,-30.71835138042436,3.64,1.74,,,,89.9,2566.0,6.5,715736,624431,519203,650402,518626,665828,519317,664056,592450,54.03,,,,,,,,40,4,Slider,0,2,2,0,2,0,2,0,Infield shift,Standard,140.0,0.0,0.033,,,,-0.033,,-2,2,0.165,0.835,31,25,32,25,3,2,6.0,2.0,,1.0,2.76,-0.37,0.37,30.9
FC,2022-10-22,91.7,-2.01,5.39,"Cole, Gerrit",663656,543037,,foul,,,,,6,Kyle Tucker walks.,L,L,R,NYY,HOU,S,,,1,1,2022,0.09,0.7,0.68,2.42,,608324.0,,0,6,Top,,,,,,,6.617293881515437,-133.45555531687447,-3.2185114010447147,-0.2114876071644201,26.671474761579997,-23.3457001069004,3.69,1.74,3.0,44.6,-41.0,92.3,2605.0,6.5,715736,624431,519203,650402,518626,665828,519317,664056,592450,54.05,,,,,,,,40,3,Cutter,0,2,2,0,2,0,2,0,Infield shift,Standard,182.0,0.0,-0.066,,,,0.066,88.0,-2,2,0.165,0.835,31,25,32,25,3,2,6.0,2.0,,1.0,2.0,-0.09,0.09,31.5
CH,2022-10-22,88.5,-1.84,5.46,"Cole, Gerrit",663656,543037,,foul,,,,,13,Kyle Tucker walks.,L,L,R,NYY,HOU,S,,,1,0,2022,-1.28,0.87,-1.12,2.18,,608324.0,,0,6,Top,,,,,,,4.4828789732732135,-128.7346522989119,-3.749841856385877,-15.200636722709175,27.485305124394213,-21.97323334089014,3.69,1.74,,,,89.0,1595.0,6.7,715736,624431,519203,650402,518626,665828,519317,664056,592450,53.81,,,,,,,,40,2,Changeup,0,2,2,0,2,0,2,0,Infield shift,Standard,242.0,0.0,-0.046,,,,0.046,,-2,2,0.165,0.835,31,25,32,25,3,2,6.0,2.0,,1.0,2.05,1.28,-1.28,34.6
CH,2022-10-22,88.8,-1.85,5.36,"Cole, Gerrit",663656,543037,,ball,,,,,13,Kyle Tucker walks.,L,L,R,NYY,HOU,B,,,0,0,2022,-1.28,0.6,-0.68,0.8,,608324.0,,0,6,Top,,,,,,,5.590102095829859,-129.19808139286965,-6.437885685731054,-15.477360416490113,26.16026128898548,-24.3118392242692,3.69,1.75,,,,89.6,1611.0,6.7,715736,624431,519203,650402,518626,665828,519317,664056,592450,53.79,,,,,,,,40,1,Changeup,0,2,2,0,2,0,2,0,Infield shift,Standard,240.0,0.0,0.04,,,,-0.04,,-2,2,0.165,0.835,31,25,32,25,3,2,6.0,2.0,,1.0,2.28,1.28,-1.28,34.2
CH,2022-10-22,88.8,-1.78,5.33,"Cole, Gerrit",608324,543037,double,hit_into_play,,,,,4,Alex Bregman doubles (2) on a sharp line drive to left fielder Giancarlo Stanton.,L,R,R,NYY,HOU,X,7.0,line_drive,1,2,2022,-1.41,0.9,-0.35,2.41,,,,0,6,Top,38.39,99.8,,,,,6.46857670011164,-129.24516264080137,-3.0049548370636865,-17.098935500704737,26.78500498857923,-21.707292152623097,3.18,1.53,237.0,104.6,14.0,89.2,1853.0,6.5,715736,624431,519203,650402,518626,665828,519317,664056,592450,53.97,0.714,0.752,1.25,1.0,1.0,1.0,5.0,39,4,Changeup,0,2,2,0,2,0,2,0,Standard,Standard,239.0,-0.046,0.776,,,1.025,-0.776,104.6,-2,2,0.211,0.789,31,28,32,28,3,2,6.0,2.0,,1.0,1.99,1.41,1.41,33.3
SL,2022-10-22,89.7,-1.69,5.65,"Cole, Gerrit",608324,543037,,ball,,,,,14,Alex Bregman doubles (2) on a sharp line drive to left fielder Giancarlo Stanton.,L,R,R,NYY,HOU,B,,,0,2,2022,0.41,0.4,2.46,-0.05,,,,0,6,Top,,,,,,,9.392948670852254,-130.24064045990752,-8.990640162530369,2.88447299482985,24.548102522255657,-25.9711535792076,3.14,1.49,,,,90.1,2547.0,6.4,715736,624431,519203,650402,518626,665828,519317,664056,592450,54.09,,,,,,,,39,3,Slider,0,2,2,0,2,0,2,0,Strategic,Standard,155.0,0.0,0.019,,,,-0.019,,-2,2,0.211,0.789,31,28,32,28,3,2,6.0,2.0,,1.0,2.42,-0.41,-0.41,40.3
